effect_id,status,reason,reference_count,weapon_ids,weapon_names
6410,resolved,,109,16060000|16110000|16110100|16110200|16110300|16110400|16110500|16110600|16110700|16110800|16110900|16111000|16111100|16111200|16111300|16111400|16111500|16111600|16111900|16112000|16112100|16130000|16140000|16140100|16140200|16140300|16140400|16140500|16140600|16140700|16140800|16140900|16141000|16141100|16141200|16141300|16141400|16141500|16141600|16141900|16142000|16142100|18170000|2520000|7080000|7080100|7080200|7080300|7080400|7080500|7080600|7080700|7080800|7080900|7081000|7081100|7081200|7081300|7081400|7081500|7081600|7081900|7082000|7082100|9000000|9000100|9000200|9000300|9000400|9000500|9000600|9000700|9000800|9000900|9001000|9001100|9001200|9001300|9001400|9001500|9001600|9001900|9002000|9002100|9010000|9010100|9010200|9010300|9010400|9010500|9010600|9010700|9010800|9010900|9011000|9011100|9011200|9011300|9011400|9011500|9011600|9011900|9012000|9012100|9020000|9050000|9070000|9090000|9500000,Blade of Distant Light|Celebrant's Rib-Rake|Cross-Naginata|Dragonscale Blade|Hand of Malenia|Inquisitor's Girandole|Nagakiba|Reaver's Odachi|Scavenger's Curved Sword|Spiked Spear|Star Shadow|Star-Lined Sword|Sword of Night|Uchigatana
6452,resolved,,1,24040000,St. Trina's Torch
6502,resolved,,1,30200000,Coil Shield
6505,resolved,,1,32220000,Ant's Skull Plate
6510,resolved,,1,21520000,Poisoned Hand
6511,resolved,,2,20500000|61540000,Deadly Poison Perfume Bottle|Tooth Whip
6512,resolved,,21,22010000|22010100|22010200|22010300|22010400|22010500|22010600|22010700|22010800|22010900|22011000|22011100|22011200|22011300|22011400|22011500|22011600|22011700|22011800|22012000|22012100,Venomous Fang
6601,resolved,,1,7160000,Blade of Scarlet Bloom
6604,resolved,,4,16160000|2260000|5040000|9020000,Antspur Rapier|Hand of Malenia|Rotten Crystal Spear|Rotten Crystal Sword
6605,resolved,,3,12210000|18010000|18510000,Pest's Glaive|Poleblade of the Bud|Rotten Battle Hammer
6701,resolved,,2,11192000|61510000,Chilling Perfume Bottle|Tricia's Pomander - Frost
6702,resolved,,1,24050000,Ghostflame Torch
6750,resolved,,1,21530000,Madding Hand
6751,resolved,,2,11193000|61520000,Frenzyflame Perfume Bottle|Tricia's Pomander - Frenzy
6752,resolved,,23,1001300|1021300|1031300|1091300|1101300|1130000|1141300|1501300|21001300|21011300|21071300|21081300|21101300|21511300|21541300|22001300|22011300|22031300|24500000|60501300|60511300|63501300|68501300,Beast Claw|Bloodstained Dagger|Caestus|Dagger|Dane's Footwork|Dryleaf Arts|Golem Fist|Great Knife|Hookclaws|Iron Ball|Ivory Sickle|Katar|Main-gauche|Miséricorde|Nanaya's Torch|Parrying Dagger|Pata|Raptor Talons|Smithscript Dagger|Spiked Caestus|Star Fist|Venomous Fang|Wakizashi
6753,resolved,,23,11001300|11011300|11031300|11041300|11051300|11071300|11081300|11141300|13001300|13011300|13041300|14001300|14011300|14021300|14041300|14101300|14501300|14521300|15011300|20001300|20021300|20071300|32130000,Battle Axe|Chainlink Flail|Club|Curved Club|Fingerprint Stone Shield|Flail|Forked Hatchet|Hammer|Hand Axe|Highland Axe|Iron Cleaver|Mace|Messmer Soldier's Axe|Morning Star|Nightrider Flail|Smithscript Axe|Spiked Club|Stone Club|Thorned Whip|Urumi|Warped Axe|Warpick|Whip
6754,resolved,,42,12001300|12021300|12061300|12081300|12141300|12181300|12191300|12501300|15001300|15021300|15031300|15051300|15061300|15081300|15121300|17050000|17061300|17511300|18001300|18021300|18051300|18091300|19001300|19011300|3001300|3011300|3021300|3031300|3041300|3051300|3181300|3501300|3521300|3560000|6021300|62501300|66501300|8021300|8061300|8090000|8531300|9090000,Bastard Sword|Battle Hammer|Blade of Distant Light|Brick Hammer|Butchering Knife|Claymore|Crescent Moon Axe|Curved Great Club|Demi-Dragon Cleaver|Dismounter|Dueling Shield|Executioner's Greataxe|Flamberge|Forked Greatsword|Glaive|Grave Scythe|Great Katana|Great Mace|Great Omenkiller Cleaver|Great Stars|Great Épée|Greataxe|Greatsword of Midra|Halberd|Iron Greatsword|Knight's Greatsword|Lance|Large Club|Lizard Greatsword|Longhaft Axe|Lordsworn's Greatsword|Lucerne|Messmer Soldier's Spear|Nightrider Glaive|Omen Cleaver|Pickaxe|Rusted Anchor|Scythe|Smithscript Greathammer|Sword Lance|Three Finger Blade|Vyke's War Spear
6756,resolved,,38,10001300|10031300|16001300|16011300|16051300|16071300|16111300|16141300|16151300|16501300|16561300|2001300|2011300|2021300|2041300|2051300|2211300|2231300|2241300|2270000|5001300|5011300|5021300|5061300|64501300|64511300|67501300|7001300|7021300|7031300|7041300|7081300|7111300|7141300|7151300|7180000|9001300|9011300,Backhand Blade|Bandit's Curved Sword|Broadsword|Cane Sword|Cleanrot Knight's Sword|Cross-Naginata|Estoc|Falchion|Gaelor's Mancatcher|Grossmesser|Iron Spear|Longsword|Lordsworn's Straight Sword|Maddening Brand [Frenzy]|Milady|Nagakiba|Noble's Estoc|Noble's Slender Sword|Nomad's Kilij|Partisan|Pike|Rapier|Scavenger's Curved Sword|Scimitar|Serpent-God's Curved Sword|Shamshir|Short Spear|Short Sword|Shotel|Smithscript Cirque|Smithscript Spear|Spear|Spiked Spear|Twinblade|Twinned Knight Swords|Uchigatana|Warhawk's Talon|Weathered Straight Sword
6757,resolved,,5,4001300|4011300|4031300|4041300|4140000,Fingerprint Hexmark [Frenzy]|Greatsword|Troll's Golden Sword|Watchdog's Greatsword|Zweihander
6758,resolved,,3,23041300|23111300|23121300,Duelist Greataxe|Giant-Crusher|Golem's Halberd
19870,resolved,,1,10500000,Euporia
19871,resolved,,1,10500000,Euporia
50000,resolved,,1,4020000,Maliketh's Black Blade
50001,resolved,,1,3300000,Maliketh's Black Blade (restored)
50010,resolved,,1,11150000,Marika's Hammer
50011,resolved,,1,11200000,Restored Marika's Hammer
50020,resolved,,1,23050000,Axe of Godfrey
50030,resolved,,1,9020000,Hand of Malenia
50040,resolved,,1,15040000,Axe of Godrick
50050,resolved,,1,8100000,Morgott's Cursed Sword
50060,resolved,,1,3140000,Blasphemous Blade
105011,resolved,,28,1001700|1001800|1021700|1021800|1031700|1031800|1501700|1501800|21001700|21001800|21071700|21071800|21101700|21101800|21511700|21511800|21541700|21541800|22001700|22001800|22011700|22011800|60501700|60501800|60511700|60511800|63501700|63501800,Caestus|Dagger|Dane's Footwork|Dryleaf Arts|Golem Fist|Hookclaws|Iron Ball|Katar|Main-gauche|Miséricorde|Parrying Dagger|Pata|Smithscript Dagger|Venomous Fang
105013,resolved,,69,10001700|10001800|10031700|10031800|10050000|10100000|16001700|16001800|16011700|16011800|16051700|16051800|16071700|16071800|16151700|16151800|16501700|16501800|2001700|2001800|2011700|2011800|2021700|2021800|2030000|2041700|2041800|2051700|2051800|2211700|2211800|2220000|2231700|2231800|2241700|2241800|5001700|5001800|5011700|5011800|5021700|5021800|5061700|5061800|5070000|5080000|64501700|64501800|64511700|64511800|64520000|67501700|67501800|67540000|7001700|7001800|7021700|7021800|7031700|7031800|7041700|7041800|7111700|7111800|7141700|7141800|7151700|7151800|7510000,Backhand Blade|Bandit's Curved Sword|Broadsword|Cane Sword|Cleanrot Knight's Sword|Curseblade's Cirque|Eleonora's Poleblade|Estoc|Falchion|Falx|Foil of Caddock|Grossmesser|Iron Spear|Konrad's Bloodletter|Longsword|Lordsworn's Straight Sword|Milady|Noble's Estoc|Noble's Slender Sword|Palm-Ax Twinblades|Partisan|Pike|Rapier|Regalia of Eochaid|Scimitar|Serpent-God's Curved Sword|Shamshir|Short Spear|Short Sword|Shotel|Smithscript Cirque|Smithscript Spear|Spear|Thorn of the Guilty|Twinblade|Twinned Knight Swords|Warhawk's Talon|Weathered Straight Sword|Yura's Kanabo
105015,resolved,,32,11001700|11001800|11011700|11011800|11031700|11031800|11041700|11041800|11081700|11081800|11141700|11141800|11160000|14001700|14001800|14021700|14021800|14041700|14041800|14101700|14101800|14170000|14501700|14501800|14521700|14521800|15011700|15011800|20001700|20001800|20071700|20071800,Battle Axe|Bloodflame Kamas|Club|Curved Club|Hammer|Hand Axe|Highland Axe|Iron Cleaver|Mace|Messmer Soldier's Axe|Smithscript Axe|Stone Club|Urumi|Warped Axe|Warpick|Whip|Zamor Star Mace
105075,resolved,,17,1040000|1091700|1091800|1101700|1101800|1120000|1141700|1141800|21011700|21011800|21081700|21081800|22020000|22031700|22031800|68501700|68501800,Beast Claw|Bloodhound Claws|Bloodstained Dagger|Great Knife|Raptor Talons|Reduvia|Spiked Caestus|Star Fist|Surgeon's Catlinger [bloodflame]|Wakizashi
105111,resolved,,61,12001700|12001800|12021700|12021800|12061700|12061800|12081700|12081800|12141700|12141800|12191700|12191800|12501700|12501800|15001700|15001800|15031700|15031800|15051700|15051800|15061700|15061800|15081700|15081800|15121700|15121800|17061700|17061800|17511700|17511800|18001700|18001800|18021700|18021800|18051700|18051800|18091700|18091800|3001700|3001800|3021700|3021800|3031700|3031800|3041700|3041800|3181700|3181800|3501700|3501800|3521700|3521800|6000000|6021700|6021800|62501700|62501800|8021700|8021800|8061700|8061800,Bastard Sword|Battle Hammer|Bloody Helice|Brick Hammer|Butchering Knife|Claymore|Crescent Moon Axe|Curved Great Club|Dismounter|Dueling Shield|Executioner's Greataxe|Glaive|Great Mace|Great Épée|Greataxe|Halberd|Iron Greatsword|Knight's Greatsword|Lance|Large Club|Lizard Greatsword|Longhaft Axe|Lordsworn's Greatsword|Lucerne|Messmer Soldier's Spear|Nightrider Glaive|Omen Cleaver|Pickaxe|Rusted Anchor|Smithscript Greathammer|Sword Lance
105118,resolved,,2,16561700|16561800,Gaelor's Mancatcher
105125,resolved,,2,8531700|8531800,Demi-Dragon Cleaver
105168,resolved,,30,11051700|11051800|11071700|11071800|13001700|13001800|13011700|13011800|13041700|13041800|13050000|14011700|14011800|14150000|16111700|16111800|16141700|16141800|16180000|16540000|20021700|20021800|20050000|7081700|7081800|9001700|9001800|9011700|9011800|9040000,Bloodfiend's Fork|Bloodhound Hookblade|Chainlink Flail|Cross-Naginata|Crucifix of Eochaid|Flail|Forked Hatchet|Hoslow's Petal Whip|Mohgwyn Censer|Morning Star|Nagakiba|Nightrider Flail|Rivers of Blood|Scavenger's Curved Sword|Spiked Club|Spiked Spear|Thorned Whip|Uchigatana
105175,resolved,,1,11060000,Varre's Bouquet
105200,resolved,,22,12181700|12181800|15021700|15021800|16550000|17010000|19001700|19001800|19011700|19011800|19500000|3011700|3011800|3051700|3051800|3150000|3160000|66501700|66501800|66520000|8030000|8100000,Bloodfiend's Sacred Spear|Bloodhound's Fang|Flamberge|Forked Greatsword|Grave Scythe|Great Katana|Great Omenkiller Cleaver|Great Stars|Marais Executioner's Sword|Mohgwyn's Sacred Spear|Morgott's Cursed Sword|Obsidian Lamina|Rakshasa's Great Katana|Scythe|Sword of Milos
105212,resolved,,8,4001700|4001800|4011700|4011800|4031700|4031800|4041700|4041800,Greatsword|Troll's Golden Sword|Watchdog's Greatsword|Zweihander
105262,resolved,,1,12040000,Crimson Briar-Bough
105265,resolved,,9,12070000|12530000|23041700|23041800|23111700|23111800|23121700|23121800|23510000,Bloodfiend's Arm|Duelist Greataxe|Giant-Crusher|Golem's Halberd|Shadow Sunflower Blossom|Sigur's Greatmace
105515,resolved,,23,11002100|11012100|11032100|11042100|11052100|11072100|11082100|11142100|13002100|13012100|13042100|14002100|14012100|14022100|14030000|14042100|14102100|14502100|14522100|15012100|20002100|20022100|20072100,Battle Axe|Chainlink Flail|Club|Curved Club|Flail|Forked Hatchet|Hammer|Hand Axe|Highland Axe|Iron Cleaver|Jawbone Axe|Mace|Messmer Soldier's Axe|Morning Star|Nightrider Flail|Smithscript Axe|Spiked Club|Stone Club|Thorned Whip|Urumi|Warped Axe|Warpick|Whip
105561,resolved,,22,1002100|1022100|1032100|1092100|1102100|1142100|1502100|21002100|21012100|21072100|21082100|21102100|21512100|21542100|22002100|22012100|22032100|60502100|60512100|63502100|68502100|68540000,Beast Claw|Bloodstained Dagger|Caestus|Dagger|Dane's Footwork|Dryleaf Arts|Golem Fist|Goras' Claw|Great Knife|Hookclaws|Iron Ball|Katar|Main-gauche|Miséricorde|Parrying Dagger|Pata|Raptor Talons|Smithscript Dagger|Spiked Caestus|Star Fist|Venomous Fang|Wakizashi
105563,resolved,,38,10002100|10032100|10060000|16002100|16012100|16052100|16072100|16100000|16112100|16142100|16152100|16502100|16562100|2002100|2012100|2022100|2042100|2052100|2212100|2232100|2242100|5002100|5012100|5022100|5062100|64502100|64512100|67502100|7002100|7022100|7032100|7042100|7082100|7112100|7142100|7152100|9002100|9012100,Backhand Blade|Bandit's Curved Sword|Broadsword|Caimar's Battlestaff|Cane Sword|Cleanrot Knight's Sword|Cross-Naginata|Estoc|Falchion|Gaelor's Mancatcher|Grossmesser|Iron Spear|Longsword|Lordsworn's Straight Sword|Milady|Nagakiba|Noble's Estoc|Noble's Slender Sword|Partisan|Pike|Rapier|Scavenger's Curved Sword|Scimitar|Serpent-God's Curved Sword|Shamshir|Short Spear|Short Sword|Shotel|Smithscript Cirque|Smithscript Spear|Spear|Spear of Tranquility|Spiked Spear|Twinblade|Twinned Knight Swords|Uchigatana|Warhawk's Talon|Weathered Straight Sword
105575,resolved,,1,2190000,Sword of St. Trina
105611,resolved,,40,12002100|12010000|12022100|12062100|12082100|12142100|12182100|12192100|12502100|15002100|15022100|15032100|15052100|15062100|15082100|15110000|15122100|17062100|17512100|18002100|18022100|18052100|18092100|19002100|19012100|3002100|3012100|3022100|3032100|3042100|3052100|3182100|3502100|3522100|6022100|62502100|66502100|8022100|8062100|8532100,Bastard Sword|Battle Hammer|Brick Hammer|Butchering Knife|Claymore|Crescent Moon Axe|Curved Great Club|Demi-Dragon Cleaver|Dismounter|Dueling Shield|Executioner's Greataxe|Flamberge|Forked Greatsword|Glaive|Grave Scythe|Great Katana|Great Mace|Great Omenkiller Cleaver|Great Stars|Great Épée|Greataxe|Greathorn Hammer|Halberd|Iron Greatsword|Knight's Greatsword|Lance|Large Club|Lizard Greatsword|Longhaft Axe|Lordsworn's Greatsword|Lucerne|Messmer Soldier's Spear|Nightrider Glaive|Omen Cleaver|Pickaxe|Rusted Anchor|Scythe|Smithscript Greathammer|Sword Lance|Winged Greathorn
105712,resolved,,5,17080000|4002100|4012100|4032100|4042100,Greatsword|Spear of the Dreaming|Troll's Golden Sword|Watchdog's Greatsword|Zweihander
105715,resolved,,3,23042100|23112100|23122100,Duelist Greataxe|Giant-Crusher|Golem's Halberd
106011,resolved,,20,1001900|1021900|1031900|1091900|1101900|1141900|1501900|21001900|21011900|21071900|21081900|21101900|21511900|21541900|22001900|22031900|60501900|60511900|63501900|68501900,Beast Claw|Bloodstained Dagger|Caestus|Dagger|Dane's Footwork|Dryleaf Arts|Golem Fist|Great Knife|Hookclaws|Iron Ball|Katar|Main-gauche|Miséricorde|Parrying Dagger|Pata|Raptor Talons|Smithscript Dagger|Spiked Caestus|Star Fist|Wakizashi
106013,resolved,,36,10001900|10031900|16001900|16011900|16051900|16071900|16111900|16141900|16151900|16501900|16561900|2001900|2011900|2021900|2041900|2051900|2211900|2231900|2241900|5001900|5011900|5021900|5061900|64501900|64511900|67501900|7001900|7021900|7031900|7041900|7081900|7111900|7141900|7151900|9001900|9011900,Backhand Blade|Bandit's Curved Sword|Broadsword|Cane Sword|Cleanrot Knight's Sword|Cross-Naginata|Estoc|Falchion|Gaelor's Mancatcher|Grossmesser|Iron Spear|Longsword|Lordsworn's Straight Sword|Milady|Nagakiba|Noble's Estoc|Noble's Slender Sword|Partisan|Pike|Rapier|Scavenger's Curved Sword|Scimitar|Serpent-God's Curved Sword|Shamshir|Short Spear|Short Sword|Shotel|Smithscript Cirque|Smithscript Spear|Spear|Spiked Spear|Twinblade|Twinned Knight Swords|Uchigatana|Warhawk's Talon|Weathered Straight Sword
106015,resolved,,22,11001900|11011900|11031900|11041900|11051900|11071900|11081900|11141900|13001900|13011900|13041900|14001900|14011900|14021900|14041900|14101900|14501900|14521900|15011900|20001900|20021900|20071900,Battle Axe|Chainlink Flail|Club|Curved Club|Flail|Forked Hatchet|Hammer|Hand Axe|Highland Axe|Iron Cleaver|Mace|Messmer Soldier's Axe|Morning Star|Nightrider Flail|Smithscript Axe|Spiked Club|Stone Club|Thorned Whip|Urumi|Warped Axe|Warpick|Whip
106111,resolved,,38,12001900|12021900|12061900|12081900|12141900|12181900|12191900|12501900|15001900|15021900|15031900|15051900|15061900|15081900|15121900|17061900|17511900|18001900|18021900|18051900|18091900|19001900|19011900|3001900|3011900|3021900|3031900|3041900|3051900|3181900|3501900|3521900|6021900|62501900|66501900|8021900|8061900|8531900,Bastard Sword|Battle Hammer|Brick Hammer|Butchering Knife|Claymore|Crescent Moon Axe|Curved Great Club|Demi-Dragon Cleaver|Dismounter|Dueling Shield|Executioner's Greataxe|Flamberge|Forked Greatsword|Glaive|Grave Scythe|Great Katana|Great Mace|Great Omenkiller Cleaver|Great Stars|Great Épée|Greataxe|Halberd|Iron Greatsword|Knight's Greatsword|Lance|Large Club|Lizard Greatsword|Longhaft Axe|Lordsworn's Greatsword|Lucerne|Messmer Soldier's Spear|Nightrider Glaive|Omen Cleaver|Pickaxe|Rusted Anchor|Scythe|Smithscript Greathammer|Sword Lance
106125,resolved,,1,9080000,Serpentbone Blade
106200,resolved,,1,22011900,Venomous Fang
106212,resolved,,4,4001900|4011900|4031900|4041900,Greatsword|Troll's Golden Sword|Watchdog's Greatsword|Zweihander
106215,resolved,,3,23041900|23111900|23121900,Duelist Greataxe|Giant-Crusher|Golem's Halberd
107011,resolved,,1,1080000,Scorpion's Stinger
107215,resolved,,4,19070000|23090000|23140000|23150000,Greatstaff of Decay|Rotten Greataxe|Rotten Staff|Scarlet Triscythe
107511,resolved,,46,1000500|1001600|1020500|1021600|1030500|1031600|1050000|1090500|1091600|1100500|1101600|1140500|1141600|1500500|1501600|21000500|21001600|21010500|21011600|21020000|21070500|21071600|21080500|21081600|21100500|21101600|21510500|21511600|21540500|21541600|22000500|22001600|22010500|22011600|22030500|22031600|60500500|60501600|60510500|60511600|60520000|63500500|63501600|68500500|68501600|68550000,Beast Claw|Bloodstained Dagger|Caestus|Crystal Knife|Daergraf's Opus|Dagger|Dane's Footwork|Dryleaf Arts|Golem Fist|Great Knife|Hookclaws|Iron Ball|Katar|Main-gauche|Miséricorde|Parrying Dagger|Pata|Rancor Touch|Raptor Talons|Smithscript Dagger|Spiked Caestus|Star Fist|Transcendent Talons|Venomous Fang|Wakizashi
107513,resolved,,81,10000500|10001600|10030500|10031600|10040000|10200000|16000500|16001600|16010500|16011600|16030000|16050500|16051600|16070500|16071600|16110500|16111600|16120000|16140500|16141600|16150500|16151600|16500500|16501600|16560500|16561600|2000500|2001600|2010500|2011600|2020500|2021600|2040500|2041600|2050500|2051600|2210500|2211600|2230500|2231600|2240500|2241600|2250000|5000500|5001600|5010500|5011600|5020500|5021600|5050000|5060500|5061600|64500500|64501600|64510500|64511600|64550000|67500500|67501600|7000500|7001600|7020500|7021600|7030500|7031600|7040500|7041600|7080500|7081600|7110500|7111600|7140500|7141600|7150500|7151600|7500000|9000500|9001600|9010500|9011600|9070000,Backhand Blade|Bandit's Curved Sword|Broadsword|Cane Sword|Clayman's Harpoon|Cleanrot Knight's Sword|Crescent Moons|Cross-Naginata|Death Ritual Spear|Dragonkin Seeker Sword|Dragonscale Blade|Estoc|Falchion|Frozen Needle|Frozen Twinshards|Gaelor's Mancatcher|Galvanic Culling Blade [Twinblade]|Grossmesser|Iron Spear|Longsword|Lordsworn's Straight Sword|Milady|Nagakiba|Noble's Estoc|Noble's Slender Sword|Partisan|Pike|Rapier|Scavenger's Curved Sword|Scimitar|Serpent-God's Curved Sword|Shamshir|Short Spear|Short Sword|Shotel|Smithscript Cirque|Smithscript Spear|Spear|Spiked Spear|Spirit Sword|Twinblade|Twinned Knight Swords|Uchigatana|Warhawk's Talon|Weathered Straight Sword
107515,resolved,,48,11000500|11001600|11010500|11011600|11030500|11031600|11040500|11041600|11050500|11051600|11070500|11071600|11080500|11081600|11140500|11141600|11160000|13000500|13001600|13010500|13011600|13020000|13040500|13041600|14000500|14001600|14010500|14011600|14020500|14021600|14040500|14041600|14080000|14100500|14101600|14160000|14500500|14501600|14520500|14521600|15010500|15011600|20000500|20001600|20020500|20021600|20070500|20071600,Battle Axe|Chainlink Flail|Club|Curved Club|Family Heads|Flail|Forked Hatchet|Hammer|Hand Axe|Highland Axe|Icerind Hatchet|Iron Cleaver|Mace|Messmer Soldier's Axe|Morning Star|Nightrider Flail|Rimeheart|Smithscript Axe|Spiked Club|Stone Club|Thorned Whip|Urumi|Warped Axe|Warpick|Whip|Zamor Star Mace
