weapon_id,name,affinity,weapon_type_name,weapon_type_keys,attack_element_correct_id,str_scaling,str_grade,str_effective,dex_scaling,dex_grade,dex_effective,int_scaling,int_grade,int_effective,fai_scaling,fai_grade,fai_effective,arc_scaling,arc_grade,arc_effective,usable_stats,dead_stats
12510000,Anvil Hammer,Standard,Colossal Weapon,AxhammerLarge,20010100,0.65,C,1,0.10,E,1,0.10,E,1,0.30,D,1,0.00,-,0,STR|DEX|INT|FAI,ARC
43080000,Arbalest,Standard,Crossbow,ClossBow,10000,0.00,-,0,0.00,-,0,0.00,-,0,0.00,-,0,0.00,-,0,,STR|DEX|INT|FAI|ARC
33130000,Astrologer's Staff,Standard,Staff,Staff|Sorcery,20000,0.12,E,0,0.00,-,0,0.89,C,1,0.00,-,0,0.00,-,0,INT,STR|DEX|FAI|ARC
23050000,Axe of Godfrey,Standard,Colossal Weapon,AxhammerLarge,10000,0.47,D,1,0.30,D,1,0.00,-,0,0.00,-,0,0.00,-,0,STR|DEX,INT|FAI|ARC
15040000,Axe of Godrick,Standard,Greataxe,AxeLarge,10000,0.48,D,1,0.40,D,1,0.00,-,0,0.00,-,0,0.00,-,0,STR|DEX,INT|FAI|ARC
33230000,Azur's Glintstone Staff,Standard,Staff,Staff|Sorcery,20000,0.25,D,0,0.00,-,0,0.92,B,1,0.00,-,0,0.00,-,0,INT,STR|DEX|FAI|ARC
64501100,Backhand Blade,Blood,Reverse-hand Blade,ReverseHandSword,10013,0.42,D,1,0.52,D,1,0.00,-,0,0.00,-,0,0.30,D,1,STR|DEX|ARC,INT|FAI
64500900,Backhand Blade,Cold,Reverse-hand Blade,ReverseHandSword,10000,0.40,D,1,0.49,D,1,0.52,D,1,0.00,-,0,0.00,-,0,STR|DEX|INT,FAI|ARC
64500400,Backhand Blade,Fire,Reverse-hand Blade,ReverseHandSword,10005,0.47,D,1,0.10,E,1,0.00,-,0,0.00,-,0,0.00,-,0,STR|DEX,INT|FAI|ARC
64500500,Backhand Blade,Flame Art,Reverse-hand Blade,ReverseHandSword,10000,0.13,E,1,0.16,E,1,0.00,-,0,0.55,D,1,0.00,-,0,STR|DEX|FAI,INT|ARC
64500100,Backhand Blade,Heavy,Reverse-hand Blade,ReverseHandSword,10000,0.55,D,1,0.00,-,0,0.00,-,0,0.00,-,0,0.00,-,0,STR,DEX|INT|FAI|ARC
64500200,Backhand Blade,Keen,Reverse-hand Blade,ReverseHandSword,10000,0.20,E,1,0.70,C,1,0.00,-,0,0.00,-,0,0.00,-,0,STR|DEX,INT|FAI|ARC
64500600,Backhand Blade,Lightning,Reverse-hand Blade,ReverseHandSword,10000,0.10,E,1,0.47,D,1,0.00,-,0,0.00,-,0,0.00,-,0,STR|DEX,INT|FAI|ARC
64500800,Backhand Blade,Magic,Reverse-hand Blade,ReverseHandSword,10000,0.13,E,1,0.16,E,1,0.56,D,1,0.00,-,0,0.00,-,0,STR|DEX|INT,FAI|ARC
64501200,Backhand Blade,Occult,Reverse-hand Blade,ReverseHandSword,10013,0.18,E,1,0.22,E,1,0.00,-,0,0.00,-,0,0.85,C,1,STR|DEX|ARC,INT|FAI
64501000,Backhand Blade,Poison,Reverse-hand Blade,ReverseHandSword,10013,0.42,D,1,0.52,D,1,0.00,-,0,0.00,-,0,0.30,D,1,STR|DEX|ARC,INT|FAI
64500300,Backhand Blade,Quality,Reverse-hand Blade,ReverseHandSword,10000,0.63,C,1,0.63,C,1,0.00,-,0,0.00,-,0,0.00,-,0,STR|DEX,INT|FAI|ARC
64500700,Backhand Blade,Sacred,Reverse-hand Blade,ReverseHandSword,10000,0.13,E,1,0.16,E,1,0.00,-,0,0.55,D,1,0.00,-,0,STR|DEX|FAI,INT|ARC
64500000,Backhand Blade,Standard,Reverse-hand Blade,ReverseHandSword,10000,0.45,D,1,0.55,D,1,0.00,-,0,0.00,-,0,0.00,-,0,STR|DEX,INT|FAI|ARC
7041100,Bandit's Blood Curved Sword,Blood,Curved Sword,SaberNormal,10013,0.32,D,1,0.44,D,1,0.00,-,0,0.00,-,0,0.30,D,1,STR|DEX|ARC,INT|FAI
7040900,Bandit's Cold Curved Sword,Cold,Curved Sword,SaberNormal,10000,0.31,D,1,0.43,D,1,0.37,D,1,0.00,-,0,0.00,-,0,STR|DEX|INT,FAI|ARC
7040000,Bandit's Curved Sword,Standard,Curved Sword,SaberNormal,10000,0.35,D,1,0.48,D,1,0.00,-,0,0.00,-,0,0.00,-,0,STR|DEX,INT|FAI|ARC
7040400,Bandit's Fire Curved Sword,Fire,Curved Sword,SaberNormal,10005,0.35,D,1,0.16,E,1,0.00,-,0,0.00,-,0,0.00,-,0,STR|DEX,INT|FAI|ARC
7040500,Bandit's Flame Art Curved Sword,Flame Art,Curved Sword,SaberNormal,10000,0.07,E,1,0.09,E,1,0.00,-,0,0.42,D,1,0.00,-,0,STR|DEX|FAI,INT|ARC
7040100,Bandit's Heavy Curved Sword,Heavy,Curved Sword,SaberNormal,10000,0.47,D,1,0.00,-,0,0.00,-,0,0.00,-,0,0.00,-,0,STR,DEX|INT|FAI|ARC
7040200,Bandit's Keen Curved Sword,Keen,Curved Sword,SaberNormal,10000,0.16,E,1,0.46,D,1,0.00,-,0,0.00,-,0,0.00,-,0,STR|DEX,INT|FAI|ARC
7040600,Bandit's Lightning Curved Sword,Lightning,Curved Sword,SaberNormal,10000,0.16,E,1,0.35,D,1,0.00,-,0,0.00,-,0,0.00,-,0,STR|DEX,INT|FAI|ARC
7040800,Bandit's Magic Curved Sword,Magic,Curved Sword,SaberNormal,10000,0.10,E,1,0.14,E,1,0.41,D,1,0.00,-,0,0.00,-,0,STR|DEX|INT,FAI|ARC
7041200,Bandit's Occult Curved Sword,Occult,Curved Sword,SaberNormal,10013,0.14,E,1,0.19,E,1,0.00,-,0,0.00,-,0,0.70,C,1,STR|DEX|ARC,INT|FAI
7041000,Bandit's Poison Curved Sword,Poison,Curved Sword,SaberNormal,10013,0.32,D,1,0.44,D,1,0.00,-,0,0.00,-,0,0.30,D,1,STR|DEX|ARC,INT|FAI
7040300,Bandit's Quality Curved Sword,Quality,Curved Sword,SaberNormal,10000,0.55,D,1,0.55,D,1,0.00,-,0,0.00,-,0,0.00,-,0,STR|DEX,INT|FAI|ARC
7040700,Bandit's Sacred Curved Sword,Sacred,Curved Sword,SaberNormal,10000,0.07,E,1,0.09,E,1,0.00,-,0,0.42,D,1,0.00,-,0,STR|DEX|FAI,INT|ARC
3081100,Banished Knight's Blood Greatsword,Blood,Greatsword,SwordLarge,10013,0.41,D,1,0.34,D,1,0.00,-,0,0.00,-,0,0.30,D,1,STR|DEX|ARC,INT|FAI
18031100,Banished Knight's Blood Halberd,Blood,Halberd,SpearAxe,10013,0.38,D,1,0.49,D,1,0.00,-,0,0.00,-,0,0.30,D,1,STR|DEX|ARC,INT|FAI
31031100,Banished Knight's Blood Shield,Blood,Medium Shield,ShieldNormal,10013,0.38,D,1,0.00,-,0,0.00,-,0,0.00,-,0,0.30,D,1,STR|ARC,DEX|INT|FAI
3080900,Banished Knight's Cold Greatsword,Cold,Greatsword,SwordLarge,10000,0.39,D,1,0.32,D,1,0.36,D,1,0.00,-,0,0.00,-,0,STR|DEX|INT,FAI|ARC
18030900,Banished Knight's Cold Halberd,Cold,Halberd,SpearAxe,10000,0.36,D,1,0.46,D,1,0.46,D,1,0.00,-,0,0.00,-,0,STR|DEX|INT,FAI|ARC
31030900,Banished Knight's Cold Shield,Cold,Medium Shield,ShieldNormal,10000,0.36,D,1,0.00,-,0,0.24,E,1,0.00,-,0,0.00,-,0,STR|INT,DEX|FAI|ARC
3080400,Banished Knight's Fire Greatsword,Fire,Greatsword,SwordLarge,10005,0.33,D,1,0.16,E,1,0.00,-,0,0.00,-,0,0.00,-,0,STR|DEX,INT|FAI|ARC
18030400,Banished Knight's Fire Halberd,Fire,Halberd,SpearAxe,10005,0.40,D,1,0.09,E,1,0.00,-,0,0.00,-,0,0.00,-,0,STR|DEX,INT|FAI|ARC
31030400,Banished Knight's Fire Shield,Fire,Medium Shield,ShieldNormal,10005,0.28,D,1,0.12,E,1,0.00,-,0,0.00,-,0,0.00,-,0,STR|DEX,INT|FAI|ARC
3080500,Banished Knight's Flame Art Greatsword,Flame Art,Greatsword,SwordLarge,10000,0.13,E,1,0.10,E,1,0.00,-,0,0.35,D,1,0.00,-,0,STR|DEX|FAI,INT|ARC
18030500,Banished Knight's Flame Art Halberd,Flame Art,Halberd,SpearAxe,10000,0.08,E,1,0.10,E,1,0.00,-,0,0.47,D,1,0.00,-,0,STR|DEX|FAI,INT|ARC
31030500,Banished Knight's Flame Art Shield,Flame Art,Medium Shield,ShieldNormal,10000,0.14,E,1,0.00,-,0,0.00,-,0,0.24,E,1,0.00,-,0,STR|FAI,DEX|INT|ARC
3080000,Banished Knight's Greatsword,Standard,Greatsword,SwordLarge,10000,0.44,D,1,0.36,D,1,0.00,-,0,0.00,-,0,0.00,-,0,STR|DEX,INT|FAI|ARC
18030000,Banished Knight's Halberd,Standard,Halberd,SpearAxe,10000,0.40,D,1,0.52,D,1,0.00,-,0,0.00,-,0,0.00,-,0,STR|DEX,INT|FAI|ARC
3080100,Banished Knight's Heavy Greatsword,Heavy,Greatsword,SwordLarge,10000,0.47,D,1,0.00,-,0,0.00,-,0,0.00,-,0,0.00,-,0,STR,DEX|INT|FAI|ARC
18030100,Banished Knight's Heavy Halberd,Heavy,Halberd,SpearAxe,10000,0.53,D,1,0.00,-,0,0.00,-,0,0.00,-,0,0.00,-,0,STR,DEX|INT|FAI|ARC
31030100,Banished Knight's Heavy Shield,Heavy,Medium Shield,ShieldNormal,10000,0.36,D,1,0.00,-,0,0.00,-,0,0.00,-,0,0.00,-,0,STR,DEX|INT|FAI|ARC
3080200,Banished Knight's Keen Greatsword,Keen,Greatsword,SwordLarge,10000,0.16,E,1,0.41,D,1,0.00,-,0,0.00,-,0,0.00,-,0,STR|DEX,INT|FAI|ARC
18030200,Banished Knight's Keen Halberd,Keen,Halberd,SpearAxe,10000,0.18,E,1,0.49,D,1,0.00,-,0,0.00,-,0,0.00,-,0,STR|DEX,INT|FAI|ARC
31030200,Banished Knight's Keen Shield,Keen,Medium Shield,ShieldNormal,10000,0.08,E,1,0.32,D,1,0.00,-,0,0.00,-,0,0.00,-,0,STR|DEX,INT|FAI|ARC
3080600,Banished Knight's Lightning Greatsword,Lightning,Greatsword,SwordLarge,10000,0.16,E,1,0.33,D,1,0.00,-,0,0.00,-,0,0.00,-,0,STR|DEX,INT|FAI|ARC
18030600,Banished Knight's Lightning Halberd,Lightning,Halberd,SpearAxe,10000,0.09,E,1,0.40,D,1,0.00,-,0,0.00,-,0,0.00,-,0,STR|DEX,INT|FAI|ARC
31030600,Banished Knight's Lightning Shield,Lightning,Medium Shield,ShieldNormal,10000,0.08,E,1,0.28,D,1,0.00,-,0,0.00,-,0,0.00,-,0,STR|DEX,INT|FAI|ARC
3080800,Banished Knight's Magic Greatsword,Magic,Greatsword,SwordLarge,10000,0.13,E,1,0.10,E,1,0.36,D,1,0.00,-,0,0.00,-,0,STR|DEX|INT,FAI|ARC
18030800,Banished Knight's Magic Halberd,Magic,Halberd,SpearAxe,10000,0.08,E,1,0.10,E,1,0.46,D,1,0.00,-,0,0.00,-,0,STR|DEX|INT,FAI|ARC
31030800,Banished Knight's Magic Shield,Magic,Medium Shield,ShieldNormal,10000,0.16,E,1,0.00,-,0,0.24,E,1,0.00,-,0,0.00,-,0,STR|INT,DEX|FAI|ARC
3081200,Banished Knight's Occult Greatsword,Occult,Greatsword,SwordLarge,10013,0.17,E,1,0.14,E,1,0.00,-,0,0.00,-,0,0.68,C,1,STR|DEX|ARC,INT|FAI
18031200,Banished Knight's Occult Halberd,Occult,Halberd,SpearAxe,10013,0.16,E,1,0.20,E,1,0.00,-,0,0.00,-,0,0.78,C,1,STR|DEX|ARC,INT|FAI
31031200,Banished Knight's Occult Shield,Occult,Medium Shield,ShieldNormal,10013,0.38,D,1,0.00,-,0,0.00,-,0,0.00,-,0,0.38,D,1,STR|ARC,DEX|INT|FAI
3081000,Banished Knight's Poison Greatsword,Poison,Greatsword,SwordLarge,10013,0.41,D,1,0.34,D,1,0.00,-,0,0.00,-,0,0.30,D,1,STR|DEX|ARC,INT|FAI
18031000,Banished Knight's Poison Halberd,Poison,Halberd,SpearAxe,10013,0.38,D,1,0.49,D,1,0.00,-,0,0.00,-,0,0.30,D,1,STR|DEX|ARC,INT|FAI
31031000,Banished Knight's Poison Shield,Poison,Medium Shield,ShieldNormal,10013,0.38,D,1,0.00,-,0,0.00,-,0,0.00,-,0,0.30,D,1,STR|ARC,DEX|INT|FAI
3080300,Banished Knight's Quality Greatsword,Quality,Greatsword,SwordLarge,10000,0.54,D,1,0.54,D,1,0.00,-,0,0.00,-,0,0.00,-,0,STR|DEX,INT|FAI|ARC
18030300,Banished Knight's Quality Halberd,Quality,Halberd,SpearAxe,10000,0.60,C,1,0.60,C,1,0.00,-,0,0.00,-,0,0.00,-,0,STR|DEX,INT|FAI|ARC
31030300,Banished Knight's Quality Shield,Quality,Medium Shield,ShieldNormal,10000,0.40,D,1,0.40,D,1,0.00,-,0,0.00,-,0,0.00,-,0,STR|DEX,INT|FAI|ARC
3080700,Banished Knight's Sacred Greatsword,Sacred,Greatsword,SwordLarge,10000,0.13,E,1,0.10,E,1,0.00,-,0,0.35,D,1,0.00,-,0,STR|DEX|FAI,INT|ARC
18030700,Banished Knight's Sacred Halberd,Sacred,Halberd,SpearAxe,10000,0.08,E,1,0.10,E,1,0.00,-,0,0.47,D,1,0.00,-,0,STR|DEX|FAI,INT|ARC
31030700,Banished Knight's Sacred Shield,Sacred,Medium Shield,ShieldNormal,10000,0.18,E,1,0.00,-,0,0.00,-,0,0.24,E,1,0.00,-,0,STR|FAI,DEX|INT|ARC
31030000,Banished Knight's Shield,Standard,Medium Shield,ShieldNormal,10000,0.40,D,1,0.00,-,0,0.00,-,0,0.00,-,0,0.00,-,0,STR,DEX|INT|FAI|ARC
17520000,Barbed Staff-Spear,Standard,Heavy Spear,SpearHeavy,10000,0.15,E,1,0.23,E,1,0.00,-,0,0.80,C,1,0.00,-,0,STR|DEX|FAI,INT|ARC
3000900,Bastard Sword,Cold,Greatsword,SwordLarge,10000,0.49,D,1,0.24,E,1,0.36,D,1,0.00,-,0,0.00,-,0,STR|DEX|INT,FAI|ARC
3000400,Bastard Sword,Fire,Greatsword,SwordLarge,10005,0.34,D,1,0.16,E,1,0.00,-,0,0.00,-,0,0.00,-,0,STR|DEX,INT|FAI|ARC
3000500,Bastard Sword,Flame Art,Greatsword,SwordLarge,10000,0.16,E,1,0.08,E,1,0.00,-,0,0.34,D,1,0.00,-,0,STR|DEX|FAI,INT|ARC
3000100,Bastard Sword,Heavy,Greatsword,SwordLarge,10000,0.59,D,1,0.00,-,0,0.00,-,0,0.00,-,0,0.00,-,0,STR,DEX|INT|FAI|ARC
3000200,Bastard Sword,Keen,Greatsword,SwordLarge,10000,0.16,E,1,0.42,D,1,0.00,-,0,0.00,-,0,0.00,-,0,STR|DEX,INT|FAI|ARC
3000600,Bastard Sword,Lightning,Greatsword,SwordLarge,10000,0.16,E,1,0.34,D,1,0.00,-,0,0.00,-,0,0.00,-,0,STR|DEX,INT|FAI|ARC
3000800,Bastard Sword,Magic,Greatsword,SwordLarge,10000,0.16,E,1,0.08,E,1,0.37,D,1,0.00,-,0,0.00,-,0,STR|DEX|INT,FAI|ARC
3001200,Bastard Sword,Occult,Greatsword,SwordLarge,10013,0.22,E,1,0.10,E,1,0.00,-,0,0.00,-,0,0.69,C,1,STR|DEX|ARC,INT|FAI
3001000,Bastard Sword,Poison,Greatsword,SwordLarge,10013,0.52,D,1,0.25,D,1,0.00,-,0,0.00,-,0,0.30,D,1,STR|DEX|ARC,INT|FAI
3000300,Bastard Sword,Quality,Greatsword,SwordLarge,10000,0.51,D,1,0.51,D,1,0.00,-,0,0.00,-,0,0.00,-,0,STR|DEX,INT|FAI|ARC
3000700,Bastard Sword,Sacred,Greatsword,SwordLarge,10000,0.16,E,1,0.08,E,1,0.00,-,0,0.34,D,1,0.00,-,0,STR|DEX|FAI,INT|ARC
3000000,Bastard Sword,Standard,Greatsword,SwordLarge,10000,0.55,D,1,0.27,D,1,0.00,-,0,0.00,-,0,0.00,-,0,STR|DEX,INT|FAI|ARC
13030000,Bastard's Stars,Standard,Flail,Flail,10000,0.10,E,1,0.35,D,1,0.80,C,1,0.00,-,0,0.00,-,0,STR|DEX|INT,FAI|ARC
14001100,Battle Axe,Blood,Axe,AxeNormal,10013,0.43,D,1,0.29,D,1,0.00,-,0,0.00,-,0,0.30,D,1,STR|DEX|ARC,INT|FAI
14000900,Battle Axe,Cold,Axe,AxeNormal,10000,0.43,D,1,0.29,D,1,0.32,D,1,0.00,-,0,0.00,-,0,STR|DEX|INT,FAI|ARC
14000400,Battle Axe,Fire,Axe,AxeNormal,10005,0.32,D,1,0.08,E,1,0.00,-,0,0.00,-,0,0.00,-,0,STR|DEX,INT|FAI|ARC
14000500,Battle Axe,Flame Art,Axe,AxeNormal,10000,0.09,E,1,0.06,E,1,0.00,-,0,0.36,D,1,0.00,-,0,STR|DEX|FAI,INT|ARC
14000100,Battle Axe,Heavy,Axe,AxeNormal,10000,0.50,D,1,0.00,-,0,0.00,-,0,0.00,-,0,0.00,-,0,STR,DEX|INT|FAI|ARC
14000200,Battle Axe,Keen,Axe,AxeNormal,10000,0.08,E,1,0.45,D,1,0.00,-,0,0.00,-,0,0.00,-,0,STR|DEX,INT|FAI|ARC
14000600,Battle Axe,Lightning,Axe,AxeNormal,10000,0.08,E,1,0.32,D,1,0.00,-,0,0.00,-,0,0.00,-,0,STR|DEX,INT|FAI|ARC
14000800,Battle Axe,Magic,Axe,AxeNormal,10000,0.14,E,1,0.09,E,1,0.36,D,1,0.00,-,0,0.00,-,0,STR|DEX|INT,FAI|ARC
14001200,Battle Axe,Occult,Axe,AxeNormal,10013,0.19,E,1,0.13,E,1,0.00,-,0,0.00,-,0,0.68,C,1,STR|DEX|ARC,INT|FAI
14001000,Battle Axe,Poison,Axe,AxeNormal,10013,0.43,D,1,0.29,D,1,0.00,-,0,0.00,-,0,0.30,D,1,STR|DEX|ARC,INT|FAI
14000300,Battle Axe,Quality,Axe,AxeNormal,10000,0.54,D,1,0.54,D,1,0.00,-,0,0.00,-,0,0.00,-,0,STR|DEX,INT|FAI|ARC
14000700,Battle Axe,Sacred,Axe,AxeNormal,10000,0.09,E,1,0.06,E,1,0.00,-,0,0.36,D,1,0.00,-,0,STR|DEX|FAI,INT|ARC
14000000,Battle Axe,Standard,Axe,AxeNormal,10000,0.48,D,1,0.33,D,1,0.00,-,0,0.00,-,0,0.00,-,0,STR|DEX,INT|FAI|ARC
12021100,Battle Hammer,Blood,Great Hammer,HammerLarge,10013,0.75,C,1,0.13,E,1,0.00,-,0,0.00,-,0,0.30,D,1,STR|DEX|ARC,INT|FAI
12020900,Battle Hammer,Cold,Great Hammer,HammerLarge,10000,0.71,C,1,0.12,E,1,0.37,D,1,0.00,-,0,0.00,-,0,STR|DEX|INT,FAI|ARC
12020400,Battle Hammer,Fire,Great Hammer,HammerLarge,10005,0.41,D,1,0.09,E,1,0.00,-,0,0.00,-,0,0.00,-,0,STR|DEX,INT|FAI|ARC
12020500,Battle Hammer,Flame Art,Great Hammer,HammerLarge,10000,0.23,E,1,0.04,E,1,0.00,-,0,0.42,D,1,0.00,-,0,STR|DEX|FAI,INT|ARC
12020100,Battle Hammer,Heavy,Great Hammer,HammerLarge,10000,0.68,C,1,0.00,-,0,0.00,-,0,0.00,-,0,0.00,-,0,STR,DEX|INT|FAI|ARC
12020200,Battle Hammer,Keen,Great Hammer,HammerLarge,10000,0.23,E,1,0.49,D,1,0.00,-,0,0.00,-,0,0.00,-,0,STR|DEX,INT|FAI|ARC
12020600,Battle Hammer,Lightning,Great Hammer,HammerLarge,10000,0.09,E,1,0.41,D,1,0.00,-,0,0.00,-,0,0.00,-,0,STR|DEX,INT|FAI|ARC
12020800,Battle Hammer,Magic,Great Hammer,HammerLarge,10000,0.23,E,1,0.04,E,1,0.46,D,1,0.00,-,0,0.00,-,0,STR|DEX|INT,FAI|ARC
12021200,Battle Hammer,Occult,Great Hammer,HammerLarge,10013,0.31,D,1,0.05,E,1,0.00,-,0,0.00,-,0,0.79,C,1,STR|DEX|ARC,INT|FAI
12021000,Battle Hammer,Poison,Great Hammer,HammerLarge,10013,0.75,C,1,0.13,E,1,0.00,-,0,0.00,-,0,0.30,D,1,STR|DEX|ARC,INT|FAI
12020300,Battle Hammer,Quality,Great Hammer,HammerLarge,10000,0.62,C,1,0.62,C,1,0.00,-,0,0.00,-,0,0.00,-,0,STR|DEX,INT|FAI|ARC
12020700,Battle Hammer,Sacred,Great Hammer,HammerLarge,10000,0.23,E,1,0.04,E,1,0.00,-,0,0.42,D,1,0.00,-,0,STR|DEX|FAI,INT|ARC
12020000,Battle Hammer,Standard,Great Hammer,HammerLarge,10000,0.79,C,1,0.14,E,1,0.00,-,0,0.00,-,0,0.00,-,0,STR|DEX,INT|FAI|ARC
68501100,Beast Claw,Blood,Beast Claw,BeastClaw,10013,0.52,D,1,0.28,D,1,0.00,-,0,0.00,-,0,0.30,D,1,STR|DEX|ARC,INT|FAI
