sheet_row,aow_id,aow_name,raw_name,variant_weapon_type,skill_family,sequence_variant,hit_kind,hit_order,is_lacking_fp,is_damaging,atk_id,sp_effect_id0,sp_effect_id1,sp_effect_id2,sp_effect_id3,sp_effect_id4,overwrite_attack_element_correct_id,is_disable_both_hands_bonus,is_add_base_atk,is_arrow_attack,physical_attack_attribute,physical_mv,magic_mv,fire_mv,lightning_mv,holy_mv,attack_base_physical,attack_base_magic,attack_base_fire,attack_base_lightning,attack_base_holy,status_mv,weapon_buff_mv,poise_mv,stamina_cost,stamina_cost_mode
891,103,Spinning Slash,[Throwing Blade] Spinning Slash #2 [2] (Lacking FP),Throwing Blade,Spinning Slash,#2 [2],direct,2,1,1,300000227,6903,-1,-1,-1,-1,-1,1,0,0,adaptive_primary,85.0,85.0,85.0,85.0,85.0,0.0,0.0,0.0,0.0,0.0,70.0,100.0,75.0,15.0,weapon_scaled
892,103,Spinning Slash,[Straight Sword] Spinning Slash #1,Straight Sword,Spinning Slash,#1,direct,1,0,1,300000220,6903,-1,-1,-1,-1,-1,1,0,0,adaptive_primary,110.0,110.0,110.0,110.0,110.0,0.0,0.0,0.0,0.0,0.0,65.0,100.0,290.0,15.0,weapon_scaled
893,103,Spinning Slash,[Straight Sword] Spinning Slash #2 [1],Straight Sword,Spinning Slash,#2 [1],direct,1,0,1,300000221,6903,-1,-1,-1,-1,-1,1,0,0,adaptive_primary,65.0,65.0,65.0,65.0,65.0,0.0,0.0,0.0,0.0,0.0,50.0,100.0,90.0,10.0,weapon_scaled
894,103,Spinning Slash,[Straight Sword] Spinning Slash #2 [2],Straight Sword,Spinning Slash,#2 [2],direct,2,0,1,300000222,6903,-1,-1,-1,-1,-1,1,0,0,adaptive_primary,115.0,115.0,115.0,115.0,115.0,0.0,0.0,0.0,0.0,0.0,70.0,100.0,290.0,15.0,weapon_scaled
895,103,Spinning Slash,[Straight Sword] Spinning Slash #1 (Lacking FP),Straight Sword,Spinning Slash,#1,direct,1,1,1,300000225,6903,-1,-1,-1,-1,-1,1,0,0,adaptive_primary,70.0,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,65.0,100.0,75.0,15.0,weapon_scaled
896,103,Spinning Slash,[Straight Sword] Spinning Slash #2 [1] (Lacking FP),Straight Sword,Spinning Slash,#2 [1],direct,1,1,1,300000226,6903,-1,-1,-1,-1,-1,1,0,0,adaptive_primary,40.0,40.0,40.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,50.0,100.0,50.0,10.0,weapon_scaled
897,103,Spinning Slash,[Straight Sword] Spinning Slash #2 [2] (Lacking FP),Straight Sword,Spinning Slash,#2 [2],direct,2,1,1,300000227,6903,-1,-1,-1,-1,-1,1,0,0,adaptive_primary,85.0,85.0,85.0,85.0,85.0,0.0,0.0,0.0,0.0,0.0,70.0,100.0,75.0,15.0,weapon_scaled
898,103,Spinning Slash,[Light Greatsword] Spinning Slash #1,Light Greatsword,Spinning Slash,#1,direct,1,0,1,300000220,6903,-1,-1,-1,-1,-1,1,0,0,adaptive_primary,110.0,110.0,110.0,110.0,110.0,0.0,0.0,0.0,0.0,0.0,65.0,100.0,290.0,15.0,weapon_scaled
899,103,Spinning Slash,[Light Greatsword] Spinning Slash #2 [1],Light Greatsword,Spinning Slash,#2 [1],direct,1,0,1,300000221,6903,-1,-1,-1,-1,-1,1,0,0,adaptive_primary,65.0,65.0,65.0,65.0,65.0,0.0,0.0,0.0,0.0,0.0,50.0,100.0,90.0,10.0,weapon_scaled
900,103,Spinning Slash,[Light Greatsword] Spinning Slash #2 [2],Light Greatsword,Spinning Slash,#2 [2],direct,2,0,1,300000222,6903,-1,-1,-1,-1,-1,1,0,0,adaptive_primary,115.0,115.0,115.0,115.0,115.0,0.0,0.0,0.0,0.0,0.0,70.0,100.0,290.0,15.0,weapon_scaled
901,103,Spinning Slash,[Light Greatsword] Spinning Slash #1 (Lacking FP),Light Greatsword,Spinning Slash,#1,direct,1,1,1,300000225,6903,-1,-1,-1,-1,-1,1,0,0,adaptive_primary,70.0,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,65.0,100.0,75.0,15.0,weapon_scaled
902,103,Spinning Slash,[Light Greatsword] Spinning Slash #2 [1] (Lacking FP),Light Greatsword,Spinning Slash,#2 [1],direct,1,1,1,300000226,6903,-1,-1,-1,-1,-1,1,0,0,adaptive_primary,40.0,40.0,40.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,50.0,100.0,50.0,10.0,weapon_scaled
903,103,Spinning Slash,[Light Greatsword] Spinning Slash #2 [2] (Lacking FP),Light Greatsword,Spinning Slash,#2 [2],direct,2,1,1,300000227,6903,-1,-1,-1,-1,-1,1,0,0,adaptive_primary,85.0,85.0,85.0,85.0,85.0,0.0,0.0,0.0,0.0,0.0,70.0,100.0,75.0,15.0,weapon_scaled
904,103,Spinning Slash,[Curved Sword] Spinning Slash #1,Curved Sword,Spinning Slash,#1,direct,1,0,1,300000220,6903,-1,-1,-1,-1,-1,1,0,0,adaptive_primary,110.0,110.0,110.0,110.0,110.0,0.0,0.0,0.0,0.0,0.0,65.0,100.0,290.0,15.0,weapon_scaled
905,103,Spinning Slash,[Curved Sword] Spinning Slash #2 [1],Curved Sword,Spinning Slash,#2 [1],direct,1,0,1,300000221,6903,-1,-1,-1,-1,-1,1,0,0,adaptive_primary,65.0,65.0,65.0,65.0,65.0,0.0,0.0,0.0,0.0,0.0,50.0,100.0,90.0,10.0,weapon_scaled
906,103,Spinning Slash,[Curved Sword] Spinning Slash #2 [2],Curved Sword,Spinning Slash,#2 [2],direct,2,0,1,300000222,6903,-1,-1,-1,-1,-1,1,0,0,adaptive_primary,115.0,115.0,115.0,115.0,115.0,0.0,0.0,0.0,0.0,0.0,70.0,100.0,290.0,15.0,weapon_scaled
907,103,Spinning Slash,[Curved Sword] Spinning Slash #1 (Lacking FP),Curved Sword,Spinning Slash,#1,direct,1,1,1,300000225,6903,-1,-1,-1,-1,-1,1,0,0,adaptive_primary,70.0,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,65.0,100.0,75.0,15.0,weapon_scaled
908,103,Spinning Slash,[Curved Sword] Spinning Slash #2 [1] (Lacking FP),Curved Sword,Spinning Slash,#2 [1],direct,1,1,1,300000226,6903,-1,-1,-1,-1,-1,1,0,0,adaptive_primary,40.0,40.0,40.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,50.0,100.0,50.0,10.0,weapon_scaled
909,103,Spinning Slash,[Curved Sword] Spinning Slash #2 [2] (Lacking FP),Curved Sword,Spinning Slash,#2 [2],direct,2,1,1,300000227,6903,-1,-1,-1,-1,-1,1,0,0,adaptive_primary,85.0,85.0,85.0,85.0,85.0,0.0,0.0,0.0,0.0,0.0,70.0,100.0,75.0,15.0,weapon_scaled
910,103,Spinning Slash,[Backhand Blade] Spinning Slash #1,Backhand Blade,Spinning Slash,#1,direct,1,0,1,300000220,6903,-1,-1,-1,-1,-1,1,0,0,adaptive_primary,110.0,110.0,110.0,110.0,110.0,0.0,0.0,0.0,0.0,0.0,65.0,100.0,290.0,15.0,weapon_scaled
911,103,Spinning Slash,[Backhand Blade] Spinning Slash #2 [1],Backhand Blade,Spinning Slash,#2 [1],direct,1,0,1,300000221,6903,-1,-1,-1,-1,-1,1,0,0,adaptive_primary,65.0,65.0,65.0,65.0,65.0,0.0,0.0,0.0,0.0,0.0,50.0,100.0,90.0,10.0,weapon_scaled
912,103,Spinning Slash,[Backhand Blade] Spinning Slash #2 [2],Backhand Blade,Spinning Slash,#2 [2],direct,2,0,1,300000222,6903,-1,-1,-1,-1,-1,1,0,0,adaptive_primary,115.0,115.0,115.0,115.0,115.0,0.0,0.0,0.0,0.0,0.0,70.0,100.0,290.0,15.0,weapon_scaled
913,103,Spinning Slash,[Backhand Blade] Spinning Slash #1 (Lacking FP),Backhand Blade,Spinning Slash,#1,direct,1,1,1,300000225,6903,-1,-1,-1,-1,-1,1,0,0,adaptive_primary,70.0,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,65.0,100.0,75.0,15.0,weapon_scaled
914,103,Spinning Slash,[Backhand Blade] Spinning Slash #2 [1] (Lacking FP),Backhand Blade,Spinning Slash,#2 [1],direct,1,1,1,300000226,6903,-1,-1,-1,-1,-1,1,0,0,adaptive_primary,40.0,40.0,40.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,50.0,100.0,50.0,10.0,weapon_scaled
915,103,Spinning Slash,[Backhand Blade] Spinning Slash #2 [2] (Lacking FP),Backhand Blade,Spinning Slash,#2 [2],direct,2,1,1,300000227,6903,-1,-1,-1,-1,-1,1,0,0,adaptive_primary,85.0,85.0,85.0,85.0,85.0,0.0,0.0,0.0,0.0,0.0,70.0,100.0,75.0,15.0,weapon_scaled
916,103,Spinning Slash,[Katana] Spinning Slash #1,Katana,Spinning Slash,#1,direct,1,0,1,300000220,6903,-1,-1,-1,-1,-1,1,0,0,adaptive_primary,110.0,110.0,110.0,110.0,110.0,0.0,0.0,0.0,0.0,0.0,65.0,100.0,290.0,15.0,weapon_scaled
917,103,Spinning Slash,[Katana] Spinning Slash #2 [1],Katana,Spinning Slash,#2 [1],direct,1,0,1,300000221,6903,-1,-1,-1,-1,-1,1,0,0,adaptive_primary,65.0,65.0,65.0,65.0,65.0,0.0,0.0,0.0,0.0,0.0,50.0,100.0,90.0,10.0,weapon_scaled
918,103,Spinning Slash,[Katana] Spinning Slash #2 [2],Katana,Spinning Slash,#2 [2],direct,2,0,1,300000222,6903,-1,-1,-1,-1,-1,1,0,0,adaptive_primary,115.0,115.0,115.0,115.0,115.0,0.0,0.0,0.0,0.0,0.0,70.0,100.0,290.0,15.0,weapon_scaled
919,103,Spinning Slash,[Katana] Spinning Slash #1 (Lacking FP),Katana,Spinning Slash,#1,direct,1,1,1,300000225,6903,-1,-1,-1,-1,-1,1,0,0,adaptive_primary,70.0,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,65.0,100.0,75.0,15.0,weapon_scaled
920,103,Spinning Slash,[Katana] Spinning Slash #2 [1] (Lacking FP),Katana,Spinning Slash,#2 [1],direct,1,1,1,300000226,6903,-1,-1,-1,-1,-1,1,0,0,adaptive_primary,40.0,40.0,40.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,50.0,100.0,50.0,10.0,weapon_scaled
921,103,Spinning Slash,[Katana] Spinning Slash #2 [2] (Lacking FP),Katana,Spinning Slash,#2 [2],direct,2,1,1,300000227,6903,-1,-1,-1,-1,-1,1,0,0,adaptive_primary,85.0,85.0,85.0,85.0,85.0,0.0,0.0,0.0,0.0,0.0,70.0,100.0,75.0,15.0,weapon_scaled
922,103,Spinning Slash,[Axe] Spinning Slash #1,Axe,Spinning Slash,#1,direct,1,0,1,300000220,6903,-1,-1,-1,-1,-1,1,0,0,adaptive_primary,110.0,110.0,110.0,110.0,110.0,0.0,0.0,0.0,0.0,0.0,65.0,100.0,290.0,15.0,weapon_scaled
923,103,Spinning Slash,[Axe] Spinning Slash #2 [1],Axe,Spinning Slash,#2 [1],direct,1,0,1,300000221,6903,-1,-1,-1,-1,-1,1,0,0,adaptive_primary,65.0,65.0,65.0,65.0,65.0,0.0,0.0,0.0,0.0,0.0,50.0,100.0,90.0,10.0,weapon_scaled
924,103,Spinning Slash,[Axe] Spinning Slash #2 [2],Axe,Spinning Slash,#2 [2],direct,2,0,1,300000222,6903,-1,-1,-1,-1,-1,1,0,0,adaptive_primary,115.0,115.0,115.0,115.0,115.0,0.0,0.0,0.0,0.0,0.0,70.0,100.0,290.0,15.0,weapon_scaled
925,103,Spinning Slash,[Axe] Spinning Slash #1 (Lacking FP),Axe,Spinning Slash,#1,direct,1,1,1,300000225,6903,-1,-1,-1,-1,-1,1,0,0,adaptive_primary,70.0,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,65.0,100.0,75.0,15.0,weapon_scaled
926,103,Spinning Slash,[Axe] Spinning Slash #2 [1] (Lacking FP),Axe,Spinning Slash,#2 [1],direct,1,1,1,300000226,6903,-1,-1,-1,-1,-1,1,0,0,adaptive_primary,40.0,40.0,40.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,50.0,100.0,50.0,10.0,weapon_scaled
927,103,Spinning Slash,[Axe] Spinning Slash #2 [2] (Lacking FP),Axe,Spinning Slash,#2 [2],direct,2,1,1,300000227,6903,-1,-1,-1,-1,-1,1,0,0,adaptive_primary,85.0,85.0,85.0,85.0,85.0,0.0,0.0,0.0,0.0,0.0,70.0,100.0,75.0,15.0,weapon_scaled
928,103,Spinning Slash,[Var1] Spinning Slash #1,Var1,Spinning Slash,#1,direct,1,0,1,300000230,6903,-1,-1,-1,-1,-1,1,0,0,adaptive_primary,105.0,105.0,105.0,105.0,105.0,0.0,0.0,0.0,0.0,0.0,65.0,100.0,230.0,20.0,weapon_scaled
929,103,Spinning Slash,[Var1] Spinning Slash #2 [1],Var1,Spinning Slash,#2 [1],direct,1,0,1,300000231,6903,-1,-1,-1,-1,-1,1,0,0,adaptive_primary,60.0,60.0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,50.0,100.0,75.0,10.0,weapon_scaled
930,103,Spinning Slash,[Var1] Spinning Slash #2 [2],Var1,Spinning Slash,#2 [2],direct,2,0,1,300000232,6903,-1,-1,-1,-1,-1,1,0,0,adaptive_primary,110.0,110.0,110.0,110.0,110.0,0.0,0.0,0.0,0.0,0.0,70.0,100.0,230.0,25.0,weapon_scaled
931,103,Spinning Slash,[Var1] Spinning Slash #1 (Lacking FP),Var1,Spinning Slash,#1,direct,1,1,1,300000235,6903,-1,-1,-1,-1,-1,1,0,0,adaptive_primary,70.0,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,65.0,100.0,100.0,20.0,weapon_scaled
932,103,Spinning Slash,[Var1] Spinning Slash #2 [1] (Lacking FP),Var1,Spinning Slash,#2 [1],direct,1,1,1,300000236,6903,-1,-1,-1,-1,-1,1,0,0,adaptive_primary,40.0,40.0,40.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,50.0,100.0,50.0,10.0,weapon_scaled
933,103,Spinning Slash,[Var1] Spinning Slash #2 [2] (Lacking FP),Var1,Spinning Slash,#2 [2],direct,2,1,1,300000237,6903,-1,-1,-1,-1,-1,1,0,0,adaptive_primary,85.0,85.0,85.0,85.0,85.0,0.0,0.0,0.0,0.0,0.0,70.0,100.0,100.0,25.0,weapon_scaled
934,103,Spinning Slash,[Var2] Spinning Slash #1,Var2,Spinning Slash,#1,direct,1,0,1,300000240,6903,-1,-1,-1,-1,-1,1,0,0,adaptive_primary,105.0,105.0,105.0,105.0,105.0,0.0,0.0,0.0,0.0,0.0,65.0,100.0,230.0,20.0,weapon_scaled
935,103,Spinning Slash,[Var2] Spinning Slash #2 [1],Var2,Spinning Slash,#2 [1],direct,1,0,1,300000241,6903,-1,-1,-1,-1,-1,1,0,0,adaptive_primary,60.0,60.0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,50.0,100.0,75.0,10.0,weapon_scaled
936,103,Spinning Slash,[Var2] Spinning Slash #2 [2],Var2,Spinning Slash,#2 [2],direct,2,0,1,300000242,6903,-1,-1,-1,-1,-1,1,0,0,adaptive_primary,110.0,110.0,110.0,110.0,110.0,0.0,0.0,0.0,0.0,0.0,70.0,100.0,230.0,25.0,weapon_scaled
937,103,Spinning Slash,[Var2] Spinning Slash #1 (Lacking FP),Var2,Spinning Slash,#1,direct,1,1,1,300000245,6903,-1,-1,-1,-1,-1,1,0,0,adaptive_primary,70.0,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,65.0,100.0,100.0,20.0,weapon_scaled
938,103,Spinning Slash,[Var2] Spinning Slash #2 [1] (Lacking FP),Var2,Spinning Slash,#2 [1],direct,1,1,1,300000246,6903,-1,-1,-1,-1,-1,1,0,0,adaptive_primary,40.0,40.0,40.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,50.0,100.0,50.0,10.0,weapon_scaled
939,103,Spinning Slash,[Var2] Spinning Slash #2 [2] (Lacking FP),Var2,Spinning Slash,#2 [2],direct,2,1,1,300000247,6903,-1,-1,-1,-1,-1,1,0,0,adaptive_primary,85.0,85.0,85.0,85.0,85.0,0.0,0.0,0.0,0.0,0.0,70.0,100.0,100.0,25.0,weapon_scaled
940,103,Spinning Slash,[Twinblade] Spinning Slash #1,Twinblade,Spinning Slash,#1,direct,1,0,1,300000250,6903,-1,-1,-1,-1,-1,1,0,0,adaptive_primary,105.0,105.0,105.0,105.0,105.0,0.0,0.0,0.0,0.0,0.0,65.0,100.0,290.0,20.0,weapon_scaled
941,103,Spinning Slash,[Twinblade] Spinning Slash #2 [1],Twinblade,Spinning Slash,#2 [1],direct,1,0,1,300000251,6903,-1,-1,-1,-1,-1,1,0,0,adaptive_primary,60.0,60.0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,50.0,100.0,90.0,10.0,weapon_scaled
942,103,Spinning Slash,[Twinblade] Spinning Slash #2 [2],Twinblade,Spinning Slash,#2 [2],direct,2,0,1,300000252,6903,-1,-1,-1,-1,-1,1,0,0,adaptive_primary,110.0,110.0,110.0,110.0,110.0,0.0,0.0,0.0,0.0,0.0,70.0,100.0,290.0,20.0,weapon_scaled
943,103,Spinning Slash,[Twinblade] Spinning Slash #1 (Lacking FP),Twinblade,Spinning Slash,#1,direct,1,1,1,300000255,6903,-1,-1,-1,-1,-1,1,0,0,adaptive_primary,70.0,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,65.0,100.0,100.0,20.0,weapon_scaled
944,103,Spinning Slash,[Twinblade] Spinning Slash #2 [1] (Lacking FP),Twinblade,Spinning Slash,#2 [1],direct,1,1,1,300000256,6903,-1,-1,-1,-1,-1,1,0,0,adaptive_primary,40.0,40.0,40.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,50.0,100.0,50.0,10.0,weapon_scaled
945,103,Spinning Slash,[Twinblade] Spinning Slash #2 [2] (Lacking FP),Twinblade,Spinning Slash,#2 [2],direct,2,1,1,300000257,6903,-1,-1,-1,-1,-1,1,0,0,adaptive_primary,85.0,85.0,85.0,85.0,85.0,0.0,0.0,0.0,0.0,0.0,70.0,100.0,100.0,20.0,weapon_scaled
2473,103,Spinning Slash,Spinning Slash #1,,Spinning Slash,#1,direct,1,0,1,300000230,6903,-1,-1,-1,-1,-1,1,0,0,standard,105.0,105.0,105.0,105.0,105.0,0.0,0.0,0.0,0.0,0.0,65.0,100.0,230.0,21.0,precalculated
2474,103,Spinning Slash,Spinning Slash #2 [1],,Spinning Slash,#2 [1],direct,1,0,1,300000231,6903,-1,-1,-1,-1,-1,1,0,0,standard,60.0,60.0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,50.0,100.0,75.0,10.0,precalculated
2475,103,Spinning Slash,Spinning Slash #2 [2],,Spinning Slash,#2 [2],direct,2,0,1,300000232,6903,-1,-1,-1,-1,-1,1,0,0,standard,110.0,110.0,110.0,110.0,110.0,0.0,0.0,0.0,0.0,0.0,70.0,100.0,230.0,26.0,precalculated
2476,103,Spinning Slash,Spinning Slash #2 - Bullet,,Spinning Slash,#2 - Bullet,bullet,2,0,1,30090011,-1,6705,-1,-1,-1,1001,0,0,0,standard,100.0,100.0,100.0,166.0,100.0,0.0,0.0,0.0,149.0,0.0,0.0,100.0,100.0,0.0,precalculated
2477,103,Spinning Slash,Spinning Slash #2 - Bullet (Water AoE),,Spinning Slash,#2 - Bullet (Water AoE),bullet,2,0,1,30090012,-1,6703,-1,-1,-1,1001,0,0,0,standard,50.0,50.0,50.0,109.0,50.0,0.0,0.0,0.0,69.0,0.0,0.0,100.0,50.0,0.0,precalculated
2478,103,Spinning Slash,Spinning Slash #1 (Lacking FP),,Spinning Slash,#1,direct,1,1,1,300000235,6903,-1,-1,-1,-1,-1,1,0,0,standard,70.0,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,65.0,100.0,100.0,21.0,precalculated
2479,103,Spinning Slash,Spinning Slash #2 [1] (Lacking FP),,Spinning Slash,#2 [1],direct,1,1,1,300000236,6903,-1,-1,-1,-1,-1,1,0,0,standard,40.0,40.0,40.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,50.0,100.0,50.0,10.0,precalculated
2480,103,Spinning Slash,Spinning Slash #2 [2] (Lacking FP),,Spinning Slash,#2 [2],direct,2,1,1,300000237,6903,-1,-1,-1,-1,-1,1,0,0,standard,85.0,85.0,85.0,85.0,85.0,0.0,0.0,0.0,0.0,0.0,70.0,100.0,100.0,26.0,precalculated
1150,105,Charge Forth,Charge Forth [1],,Charge Forth,[1],charged,1,0,1,301701900,-1,-1,-1,-1,-1,-1,1,0,0,pierce,35.0,35.0,35.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,50.0,8.0,weapon_scaled
1151,105,Charge Forth,Charge Forth [2],,Charge Forth,[2],charged,2,0,1,301701901,-1,-1,-1,-1,-1,-1,1,0,0,pierce,35.0,35.0,35.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,50.0,8.0,weapon_scaled
