weapon_id,name,affinity,effect_ids,bleed,frost,poison,sleep,madness,death
7040400,Bandit's Fire Curved Sword,Fire,,0,0,0,0,0,0
7040500,Bandit's Flame Art Curved Sword,Flame Art,,0,0,0,0,0,0
7040100,Bandit's Heavy Curved Sword,Heavy,,0,0,0,0,0,0
7040200,Bandit's Keen Curved Sword,Keen,,0,0,0,0,0,0
7040600,Bandit's Lightning Curved Sword,Lightning,,0,0,0,0,0,0
7040800,Bandit's Magic Curved Sword,Magic,,0,0,0,0,0,0
7041200,Bandit's Occult Curved Sword,Occult,,0,0,0,0,0,0
7041000,Bandit's Poison Curved Sword,Poison,106000,0,0,66,0,0,0
7040300,Bandit's Quality Curved Sword,Quality,,0,0,0,0,0,0
7040700,Bandit's Sacred Curved Sword,Sacred,,0,0,0,0,0,0
3081100,Banished Knight's Blood Greatsword,Blood,105100,69,0,0,0,0,0
18031100,Banished Knight's Blood Halberd,Blood,105100,69,0,0,0,0,0
31031100,Banished Knight's Blood Shield,Blood,105000,57,0,0,0,0,0
3080900,Banished Knight's Cold Greatsword,Cold,107600,0,80,0,0,0,0
18030900,Banished Knight's Cold Halberd,Cold,107600,0,80,0,0,0,0
31030900,Banished Knight's Cold Shield,Cold,107500,0,66,0,0,0,0
3080400,Banished Knight's Fire Greatsword,Fire,,0,0,0,0,0,0
18030400,Banished Knight's Fire Halberd,Fire,,0,0,0,0,0,0
31030400,Banished Knight's Fire Shield,Fire,,0,0,0,0,0,0
3080500,Banished Knight's Flame Art Greatsword,Flame Art,,0,0,0,0,0,0
18030500,Banished Knight's Flame Art Halberd,Flame Art,,0,0,0,0,0,0
31030500,Banished Knight's Flame Art Shield,Flame Art,,0,0,0,0,0,0
3080000,Banished Knight's Greatsword,Standard,,0,0,0,0,0,0
18030000,Banished Knight's Halberd,Standard,,0,0,0,0,0,0
3080100,Banished Knight's Heavy Greatsword,Heavy,,0,0,0,0,0,0
18030100,Banished Knight's Heavy Halberd,Heavy,,0,0,0,0,0,0
31030100,Banished Knight's Heavy Shield,Heavy,,0,0,0,0,0,0
3080200,Banished Knight's Keen Greatsword,Keen,,0,0,0,0,0,0
18030200,Banished Knight's Keen Halberd,Keen,,0,0,0,0,0,0
31030200,Banished Knight's Keen Shield,Keen,,0,0,0,0,0,0
3080600,Banished Knight's Lightning Greatsword,Lightning,,0,0,0,0,0,0
18030600,Banished Knight's Lightning Halberd,Lightning,,0,0,0,0,0,0
31030600,Banished Knight's Lightning Shield,Lightning,,0,0,0,0,0,0
3080800,Banished Knight's Magic Greatsword,Magic,,0,0,0,0,0,0
18030800,Banished Knight's Magic Halberd,Magic,,0,0,0,0,0,0
31030800,Banished Knight's Magic Shield,Magic,,0,0,0,0,0,0
3081200,Banished Knight's Occult Greatsword,Occult,,0,0,0,0,0,0
18031200,Banished Knight's Occult Halberd,Occult,,0,0,0,0,0,0
31031200,Banished Knight's Occult Shield,Occult,,0,0,0,0,0,0
3081000,Banished Knight's Poison Greatsword,Poison,106100,0,0,80,0,0,0
18031000,Banished Knight's Poison Halberd,Poison,106100,0,0,80,0,0,0
31031000,Banished Knight's Poison Shield,Poison,106000,0,0,66,0,0,0
3080300,Banished Knight's Quality Greatsword,Quality,,0,0,0,0,0,0
18030300,Banished Knight's Quality Halberd,Quality,,0,0,0,0,0,0
31030300,Banished Knight's Quality Shield,Quality,,0,0,0,0,0,0
3080700,Banished Knight's Sacred Greatsword,Sacred,,0,0,0,0,0,0
18030700,Banished Knight's Sacred Halberd,Sacred,,0,0,0,0,0,0
31030700,Banished Knight's Sacred Shield,Sacred,,0,0,0,0,0,0
31030000,Banished Knight's Shield,Standard,,0,0,0,0,0,0
17520000,Barbed Staff-Spear,Standard,6402,55,0,0,0,0,0
3000900,Bastard Sword,Cold,107600,0,80,0,0,0,0
3000400,Bastard Sword,Fire,,0,0,0,0,0,0
3000500,Bastard Sword,Flame Art,,0,0,0,0,0,0
3000100,Bastard Sword,Heavy,,0,0,0,0,0,0
3000200,Bastard Sword,Keen,,0,0,0,0,0,0
3000600,Bastard Sword,Lightning,,0,0,0,0,0,0
3000800,Bastard Sword,Magic,,0,0,0,0,0,0
3001200,Bastard Sword,Occult,,0,0,0,0,0,0
3001000,Bastard Sword,Poison,106100,0,0,80,0,0,0
3000300,Bastard Sword,Quality,,0,0,0,0,0,0
3000700,Bastard Sword,Sacred,,0,0,0,0,0,0
3000000,Bastard Sword,Standard,,0,0,0,0,0,0
13030000,Bastard's Stars,Standard,,0,0,0,0,0,0
14001100,Battle Axe,Blood,105000,57,0,0,0,0,0
14000900,Battle Axe,Cold,107500,0,66,0,0,0,0
14000400,Battle Axe,Fire,,0,0,0,0,0,0
14000500,Battle Axe,Flame Art,,0,0,0,0,0,0
14000100,Battle Axe,Heavy,,0,0,0,0,0,0
14000200,Battle Axe,Keen,,0,0,0,0,0,0
14000600,Battle Axe,Lightning,,0,0,0,0,0,0
14000800,Battle Axe,Magic,,0,0,0,0,0,0
14001200,Battle Axe,Occult,,0,0,0,0,0,0
14001000,Battle Axe,Poison,106000,0,0,66,0,0,0
14000300,Battle Axe,Quality,,0,0,0,0,0,0
14000700,Battle Axe,Sacred,,0,0,0,0,0,0
14000000,Battle Axe,Standard,,0,0,0,0,0,0
12021100,Battle Hammer,Blood,105100,69,0,0,0,0,0
12020900,Battle Hammer,Cold,107600,0,80,0,0,0,0
12020400,Battle Hammer,Fire,,0,0,0,0,0,0
12020500,Battle Hammer,Flame Art,,0,0,0,0,0,0
12020100,Battle Hammer,Heavy,,0,0,0,0,0,0
12020200,Battle Hammer,Keen,,0,0,0,0,0,0
12020600,Battle Hammer,Lightning,,0,0,0,0,0,0
12020800,Battle Hammer,Magic,,0,0,0,0,0,0
12021200,Battle Hammer,Occult,,0,0,0,0,0,0
12021000,Battle Hammer,Poison,106100,0,0,80,0,0,0
12020300,Battle Hammer,Quality,,0,0,0,0,0,0
12020700,Battle Hammer,Sacred,,0,0,0,0,0,0
12020000,Battle Hammer,Standard,,0,0,0,0,0,0
68501100,Beast Claw,Blood,105050|20001900,57,0,0,0,0,0
68500900,Beast Claw,Cold,6406|107500|20001900,38,66,0,0,0,0
68500400,Beast Claw,Fire,6400|20001900,45,0,0,0,0,0
68500500,Beast Claw,Flame Art,6400|20001900,45,0,0,0,0,0
68500100,Beast Claw,Heavy,6400|20001900,45,0,0,0,0,0
68500200,Beast Claw,Keen,6400|20001900,45,0,0,0,0,0
68500600,Beast Claw,Lightning,6400|20001900,45,0,0,0,0,0
68500800,Beast Claw,Magic,6400|20001900,45,0,0,0,0,0
68501200,Beast Claw,Occult,6406|20001900,38,0,0,0,0,0
68501000,Beast Claw,Poison,6406|106000|20001900,38,0,66,0,0,0
68500300,Beast Claw,Quality,6400|20001900,45,0,0,0,0,0
68500700,Beast Claw,Sacred,6400|20001900,45,0,0,0,0,0
68500000,Beast Claw,Standard,6400|20001900,45,0,0,0,0,0
31281100,Beast Crest Heater Shield,Blood,105000,57,0,0,0,0,0
31280900,Beast Crest Heater Shield,Cold,107500,0,66,0,0,0,0
31280400,Beast Crest Heater Shield,Fire,,0,0,0,0,0,0
31280500,Beast Crest Heater Shield,Flame Art,,0,0,0,0,0,0
31280100,Beast Crest Heater Shield,Heavy,,0,0,0,0,0,0
31280200,Beast Crest Heater Shield,Keen,,0,0,0,0,0,0
31280600,Beast Crest Heater Shield,Lightning,,0,0,0,0,0,0
31280800,Beast Crest Heater Shield,Magic,,0,0,0,0,0,0
31281200,Beast Crest Heater Shield,Occult,,0,0,0,0,0,0
31281000,Beast Crest Heater Shield,Poison,106000,0,0,66,0,0,0
31280300,Beast Crest Heater Shield,Quality,,0,0,0,0,0,0
31280700,Beast Crest Heater Shield,Sacred,,0,0,0,0,0,0
31280000,Beast Crest Heater Shield,Standard,,0,0,0,0,0,0
24060000,Beast-Repellent Torch,Standard,415|460,0,0,0,0,0,0
12150000,Beastclaw Greathammer,Standard,,0,0,0,0,0,0
8081100,Beastman's Blood Cleaver,Blood,105100,69,0,0,0,0,0
7011100,Beastman's Blood Curved Sword,Blood,105000,57,0,0,0,0,0
30061100,Beastman's Blood Jar-Shield,Blood,105000,57,0,0,0,0,0
8080000,Beastman's Cleaver,Standard,,0,0,0,0,0,0
8080900,Beastman's Cold Cleaver,Cold,107600,0,80,0,0,0,0
7010900,Beastman's Cold Curved Sword,Cold,107500,0,66,0,0,0,0
30060900,Beastman's Cold Jar-Shield,Cold,107500,0,66,0,0,0,0
7010000,Beastman's Curved Sword,Standard,,0,0,0,0,0,0
8080400,Beastman's Fire Cleaver,Fire,,0,0,0,0,0,0
7010400,Beastman's Fire Curved Sword,Fire,,0,0,0,0,0,0
30060400,Beastman's Fire Jar-Shield,Fire,,0,0,0,0,0,0
8080500,Beastman's Flame Art Cleaver,Flame Art,,0,0,0,0,0,0
7010500,Beastman's Flame Art Curved Sword,Flame Art,,0,0,0,0,0,0
30060500,Beastman's Flame Art Jar-Shield,Flame Art,,0,0,0,0,0,0
8080100,Beastman's Heavy Cleaver,Heavy,,0,0,0,0,0,0
7010100,Beastman's Heavy Curved Sword,Heavy,,0,0,0,0,0,0
30060100,Beastman's Heavy Jar-Shield,Heavy,,0,0,0,0,0,0
30060000,Beastman's Jar-Shield,Standard,,0,0,0,0,0,0
8080200,Beastman's Keen Cleaver,Keen,,0,0,0,0,0,0
7010200,Beastman's Keen Curved Sword,Keen,,0,0,0,0,0,0
30060200,Beastman's Keen Jar-Shield,Keen,,0,0,0,0,0,0
8080600,Beastman's Lightning Cleaver,Lightning,,0,0,0,0,0,0
7010600,Beastman's Lightning Curved Sword,Lightning,,0,0,0,0,0,0
30060600,Beastman's Lightning Jar-Shield,Lightning,,0,0,0,0,0,0
8080800,Beastman's Magic Cleaver,Magic,,0,0,0,0,0,0
7010800,Beastman's Magic Curved Sword,Magic,,0,0,0,0,0,0
30060800,Beastman's Magic Jar-Shield,Magic,,0,0,0,0,0,0
8081200,Beastman's Occult Cleaver,Occult,,0,0,0,0,0,0
7011200,Beastman's Occult Curved Sword,Occult,,0,0,0,0,0,0
30061200,Beastman's Occult Jar-Shield,Occult,,0,0,0,0,0,0
8081000,Beastman's Poison Cleaver,Poison,106100,0,0,80,0,0,0
7011000,Beastman's Poison Curved Sword,Poison,106000,0,0,66,0,0,0
30061000,Beastman's Poison Jar-Shield,Poison,106000,0,0,66,0,0,0
8080300,Beastman's Quality Cleaver,Quality,,0,0,0,0,0,0
7010300,Beastman's Quality Curved Sword,Quality,,0,0,0,0,0,0
30060300,Beastman's Quality Jar-Shield,Quality,,0,0,0,0,0,0
8080700,Beastman's Sacred Cleaver,Sacred,,0,0,0,0,0,0
7010700,Beastman's Sacred Curved Sword,Sacred,,0,0,0,0,0,0
30060700,Beastman's Sacred Jar-Shield,Sacred,,0,0,0,0,0,0
41070000,Black Bow,Standard,1940,0,0,0,0,0,0
1010000,Black Knife,Standard,,0,0,0,0,0,0
31341100,Black Leather Shield,Blood,105000,57,0,0,0,0,0
31340900,Black Leather Shield,Cold,107500,0,66,0,0,0,0
31340400,Black Leather Shield,Fire,,0,0,0,0,0,0
31340500,Black Leather Shield,Flame Art,,0,0,0,0,0,0
31340100,Black Leather Shield,Heavy,,0,0,0,0,0,0
31340200,Black Leather Shield,Keen,,0,0,0,0,0,0
31340600,Black Leather Shield,Lightning,,0,0,0,0,0,0
31340800,Black Leather Shield,Magic,,0,0,0,0,0,0
31341200,Black Leather Shield,Occult,,0,0,0,0,0,0
31341000,Black Leather Shield,Poison,106000,0,0,66,0,0,0
31340300,Black Leather Shield,Quality,,0,0,0,0,0,0
31340700,Black Leather Shield,Sacred,,0,0,0,0,0,0
31340000,Black Leather Shield,Standard,,0,0,0,0,0,0
12521100,Black Steel Greathammer,Blood,105100,69,0,0,0,0,0
12520900,Black Steel Greathammer,Cold,107600,0,80,0,0,0,0
12520400,Black Steel Greathammer,Fire,,0,0,0,0,0,0
12520500,Black Steel Greathammer,Flame Art,,0,0,0,0,0,0
12520100,Black Steel Greathammer,Heavy,,0,0,0,0,0,0
12520200,Black Steel Greathammer,Keen,,0,0,0,0,0,0
12520600,Black Steel Greathammer,Lightning,,0,0,0,0,0,0
12520800,Black Steel Greathammer,Magic,,0,0,0,0,0,0
12521200,Black Steel Greathammer,Occult,,0,0,0,0,0,0
12521000,Black Steel Greathammer,Poison,106100,0,0,80,0,0,0
12520300,Black Steel Greathammer,Quality,,0,0,0,0,0,0
12520700,Black Steel Greathammer,Sacred,,0,0,0,0,0,0
12520000,Black Steel Greathammer,Standard,,0,0,0,0,0,0
32501100,Black Steel Greatshield,Blood,105200,83,0,0,0,0,0
32500900,Black Steel Greatshield,Cold,107700,0,96,0,0,0,0
32500400,Black Steel Greatshield,Fire,,0,0,0,0,0,0
32500500,Black Steel Greatshield,Flame Art,,0,0,0,0,0,0
32500100,Black Steel Greatshield,Heavy,,0,0,0,0,0,0
32500200,Black Steel Greatshield,Keen,,0,0,0,0,0,0
32500600,Black Steel Greatshield,Lightning,,0,0,0,0,0,0
32500800,Black Steel Greatshield,Magic,,0,0,0,0,0,0
32501200,Black Steel Greatshield,Occult,,0,0,0,0,0,0
32501000,Black Steel Greatshield,Poison,106200,0,0,96,0,0,0
32500300,Black Steel Greatshield,Quality,,0,0,0,0,0,0
32500700,Black Steel Greatshield,Sacred,,0,0,0,0,0,0
32500000,Black Steel Greatshield,Standard,,0,0,0,0,0,0
10511100,Black Steel Twinblade,Blood,105100,69,0,0,0,0,0
10510900,Black Steel Twinblade,Cold,107600,0,80,0,0,0,0
10510400,Black Steel Twinblade,Fire,,0,0,0,0,0,0
10510500,Black Steel Twinblade,Flame Art,,0,0,0,0,0,0
10510100,Black Steel Twinblade,Heavy,,0,0,0,0,0,0
10510200,Black Steel Twinblade,Keen,,0,0,0,0,0,0
10510600,Black Steel Twinblade,Lightning,,0,0,0,0,0,0
10510800,Black Steel Twinblade,Magic,,0,0,0,0,0,0
10511200,Black Steel Twinblade,Occult,,0,0,0,0,0,0
10511000,Black Steel Twinblade,Poison,106100,0,0,80,0,0,0
10510300,Black Steel Twinblade,Quality,,0,0,0,0,0,0
10510700,Black Steel Twinblade,Sacred,,0,0,0,0,0,0
10510000,Black Steel Twinblade,Standard,,0,0,0,0,0,0
1160000,Blade of Calling,Standard,,0,0,0,0,0,0
3140000,Blasphemous Blade,Standard,5031400,0,0,0,0,0,0
12530000,Bloodfiend's Arm,Standard,,0,0,0,0,0,0
12531100,Bloodfiend's Blood Arm,Blood,105200,83,0,0,0,0,0
16541100,Bloodfiend's Blood Fork,Blood,105050,57,0,0,0,0,0
12530900,Bloodfiend's Cold Arm,Cold,107700,0,96,0,0,0,0
16540900,Bloodfiend's Cold Fork,Cold,6400|107500,45,66,0,0,0,0
12530400,Bloodfiend's Fire Arm,Fire,,0,0,0,0,0,0
16540400,Bloodfiend's Fire Fork,Fire,6401,50,0,0,0,0,0
12530500,Bloodfiend's Flame Art Arm,Flame Art,,0,0,0,0,0,0
16540500,Bloodfiend's Flame Art Fork,Flame Art,6401,50,0,0,0,0,0
16540000,Bloodfiend's Fork,Standard,6401,50,0,0,0,0,0
12530100,Bloodfiend's Heavy Arm,Heavy,,0,0,0,0,0,0
16540100,Bloodfiend's Heavy Fork,Heavy,6401,50,0,0,0,0,0
12530200,Bloodfiend's Keen Arm,Keen,,0,0,0,0,0,0
16540200,Bloodfiend's Keen Fork,Keen,6401,50,0,0,0,0,0
12530600,Bloodfiend's Lightning Arm,Lightning,,0,0,0,0,0,0
16540600,Bloodfiend's Lightning Fork,Lightning,6401,50,0,0,0,0,0
12530800,Bloodfiend's Magic Arm,Magic,,0,0,0,0,0,0
16540800,Bloodfiend's Magic Fork,Magic,6401,50,0,0,0,0,0
12531200,Bloodfiend's Occult Arm,Occult,,0,0,0,0,0,0
16541200,Bloodfiend's Occult Fork,Occult,6400,45,0,0,0,0,0
12531000,Bloodfiend's Poison Arm,Poison,106200,0,0,96,0,0,0
16541000,Bloodfiend's Poison Fork,Poison,6400|106000,45,0,66,0,0,0
12530300,Bloodfiend's Quality Arm,Quality,,0,0,0,0,0,0
16540300,Bloodfiend's Quality Fork,Quality,6401,50,0,0,0,0,0
12530700,Bloodfiend's Sacred Arm,Sacred,,0,0,0,0,0,0
16540700,Bloodfiend's Sacred Fork,Sacred,6401,50,0,0,0,0,0
16550000,Bloodfiend's Sacred Spear,Standard,6402,55,0,0,0,0,0
22021100,Bloodhound Claws,Blood,105050,57,0,0,0,0,0
22020900,Bloodhound Claws,Cold,6400|107500,45,66,0,0,0,0
22020400,Bloodhound Claws,Fire,6403,60,0,0,0,0,0
22020500,Bloodhound Claws,Flame Art,6403,60,0,0,0,0,0
22020100,Bloodhound Claws,Heavy,6403,60,0,0,0,0,0
22020200,Bloodhound Claws,Keen,6403,60,0,0,0,0,0
22020600,Bloodhound Claws,Lightning,6403,60,0,0,0,0,0
22020800,Bloodhound Claws,Magic,6403,60,0,0,0,0,0
22021200,Bloodhound Claws,Occult,6400,45,0,0,0,0,0
22021000,Bloodhound Claws,Poison,6400|106000,45,0,66,0,0,0
22020300,Bloodhound Claws,Quality,6403,60,0,0,0,0,0
22020700,Bloodhound Claws,Sacred,6403,60,0,0,0,0,0
22020000,Bloodhound Claws,Standard,6403,60,0,0,0,0,0
8030000,Bloodhound's Fang,Standard,6402,55,0,0,0,0,0
1141100,Bloodstained Dagger,Blood,105050,57,0,0,0,0,0
1140900,Bloodstained Dagger,Cold,6406|107500,38,66,0,0,0,0
1140400,Bloodstained Dagger,Fire,6406,38,0,0,0,0,0
1140500,Bloodstained Dagger,Flame Art,6406,38,0,0,0,0,0
1140100,Bloodstained Dagger,Heavy,6406,38,0,0,0,0,0
1140200,Bloodstained Dagger,Keen,6406,38,0,0,0,0,0
1140600,Bloodstained Dagger,Lightning,6406,38,0,0,0,0,0
1140800,Bloodstained Dagger,Magic,6406,38,0,0,0,0,0
1141200,Bloodstained Dagger,Occult,6406,38,0,0,0,0,0
1141000,Bloodstained Dagger,Poison,6406|106000,38,0,66,0,0,0
1140300,Bloodstained Dagger,Quality,6406,38,0,0,0,0,0
1140700,Bloodstained Dagger,Sacred,6406,38,0,0,0,0,0
1140000,Bloodstained Dagger,Standard,6406,38,0,0,0,0,0
3001100,Bloody Bastard Sword,Blood,105100,69,0,0,0,0,0
30001100,Bloody Buckler,Blood,105000,57,0,0,0,0,0
11011100,Bloody Club,Blood,105000,57,0,0,0,0,0
6000000,Bloody Helice,Standard,6402,55,0,0,0,0,0
14101100,Bloody Highland Axe,Blood,105000|5141000,57,0,0,0,0,0
30121100,Bloody Iron Roundshield,Blood,105000,57,0,0,0,0,0
17061100,Bloody Lance,Blood,105100,69,0,0,0,0,0
31231100,Bloody Large Leather Shield,Blood,105000,57,0,0,0,0,0
2001100,Bloody Longsword,Blood,105000,57,0,0,0,0,0
30071100,Bloody Red Thorn Roundshield,Blood,105000,57,0,0,0,0,0
30031100,Bloody Rickety Shield,Blood,105000,57,0,0,0,0,0
7141100,Bloody Scimitar,Blood,105000,57,0,0,0,0,0
16011100,Bloody Spear,Blood,105000,57,0,0,0,0,0
10001100,Bloody Twinblade,Blood,105100,69,0,0,0,0,0
31301100,Blue Crest Heater Shield,Blood,105000,57,0,0,0,0,0
31300900,Blue Crest Heater Shield,Cold,107500,0,66,0,0,0,0
31300400,Blue Crest Heater Shield,Fire,,0,0,0,0,0,0
31300500,Blue Crest Heater Shield,Flame Art,,0,0,0,0,0,0
31300100,Blue Crest Heater Shield,Heavy,,0,0,0,0,0,0
31300200,Blue Crest Heater Shield,Keen,,0,0,0,0,0,0
31300600,Blue Crest Heater Shield,Lightning,,0,0,0,0,0,0
31300800,Blue Crest Heater Shield,Magic,,0,0,0,0,0,0
31301200,Blue Crest Heater Shield,Occult,,0,0,0,0,0,0
31301000,Blue Crest Heater Shield,Poison,106000,0,0,66,0,0,0
31300300,Blue Crest Heater Shield,Quality,,0,0,0,0,0,0
31300700,Blue Crest Heater Shield,Sacred,,0,0,0,0,0,0
31300000,Blue Crest Heater Shield,Standard,,0,0,0,0,0,0
31101100,Blue-Gold Kite Shield,Blood,105000,57,0,0,0,0,0
31100900,Blue-Gold Kite Shield,Cold,107500,0,66,0,0,0,0
31100400,Blue-Gold Kite Shield,Fire,,0,0,0,0,0,0
31100500,Blue-Gold Kite Shield,Flame Art,,0,0,0,0,0,0
31100100,Blue-Gold Kite Shield,Heavy,,0,0,0,0,0,0
31100200,Blue-Gold Kite Shield,Keen,,0,0,0,0,0,0
31100600,Blue-Gold Kite Shield,Lightning,,0,0,0,0,0,0
31100800,Blue-Gold Kite Shield,Magic,,0,0,0,0,0,0
31101200,Blue-Gold Kite Shield,Occult,,0,0,0,0,0,0
31101000,Blue-Gold Kite Shield,Poison,106000,0,0,66,0,0,0
31100300,Blue-Gold Kite Shield,Quality,,0,0,0,0,0,0
31100700,Blue-Gold Kite Shield,Sacred,,0,0,0,0,0,0
31100000,Blue-Gold Kite Shield,Standard,,0,0,0,0,0,0
30101100,Blue-White Wooden Shield,Blood,105000,57,0,0,0,0,0
30100900,Blue-White Wooden Shield,Cold,107500,0,66,0,0,0,0
30100400,Blue-White Wooden Shield,Fire,,0,0,0,0,0,0
30100500,Blue-White Wooden Shield,Flame Art,,0,0,0,0,0,0
30100100,Blue-White Wooden Shield,Heavy,,0,0,0,0,0,0
30100200,Blue-White Wooden Shield,Keen,,0,0,0,0,0,0
30100600,Blue-White Wooden Shield,Lightning,,0,0,0,0,0,0
30100800,Blue-White Wooden Shield,Magic,,0,0,0,0,0,0
30101200,Blue-White Wooden Shield,Occult,,0,0,0,0,0,0
30101000,Blue-White Wooden Shield,Poison,106000,0,0,66,0,0,0
30100300,Blue-White Wooden Shield,Quality,,0,0,0,0,0,0
30100700,Blue-White Wooden Shield,Sacred,,0,0,0,0,0,0
30100000,Blue-White Wooden Shield,Standard,,0,0,0,0,0,0
16090000,Bolt of Gransax,Standard,,0,0,0,0,0,0
40500000,Bone Bow,Standard,1940,0,0,0,0,0,0
15510000,Bonny Butchering Knife,Standard,5151200|5151201,0,0,0,0,0,0
31131100,Brass Shield,Blood,105000,57,0,0,0,0,0
31130900,Brass Shield,Cold,107500,0,66,0,0,0,0
31130400,Brass Shield,Fire,,0,0,0,0,0,0
31130500,Brass Shield,Flame Art,,0,0,0,0,0,0
31130100,Brass Shield,Heavy,,0,0,0,0,0,0
31130200,Brass Shield,Keen,,0,0,0,0,0,0
31130600,Brass Shield,Lightning,,0,0,0,0,0,0
31130800,Brass Shield,Magic,,0,0,0,0,0,0
31131200,Brass Shield,Occult,,0,0,0,0,0,0
31131000,Brass Shield,Poison,106000,0,0,66,0,0,0
31130300,Brass Shield,Quality,,0,0,0,0,0,0
31130700,Brass Shield,Sacred,,0,0,0,0,0,0
31130000,Brass Shield,Standard,,0,0,0,0,0,0
32051100,Briar Greatshield,Blood,105250,83,0,0,0,0,0
32050900,Briar Greatshield,Cold,6404|107700,65,96,0,0,0,0
32050400,Briar Greatshield,Fire,6405,70,0,0,0,0,0
32050500,Briar Greatshield,Flame Art,6405,70,0,0,0,0,0
32050100,Briar Greatshield,Heavy,6405,70,0,0,0,0,0
32050200,Briar Greatshield,Keen,6405,70,0,0,0,0,0
32050600,Briar Greatshield,Lightning,6405,70,0,0,0,0,0
32050800,Briar Greatshield,Magic,6405,70,0,0,0,0,0
32051200,Briar Greatshield,Occult,6404,65,0,0,0,0,0
32051000,Briar Greatshield,Poison,6404|106200,65,0,96,0,0,0
32050300,Briar Greatshield,Quality,6405,70,0,0,0,0,0
32050700,Briar Greatshield,Sacred,6405,70,0,0,0,0,0
32050000,Briar Greatshield,Standard,6405,70,0,0,0,0,0
12191100,Brick Hammer,Blood,105100,69,0,0,0,0,0
12190900,Brick Hammer,Cold,107600,0,80,0,0,0,0
12190400,Brick Hammer,Fire,,0,0,0,0,0,0
12190500,Brick Hammer,Flame Art,,0,0,0,0,0,0
12190100,Brick Hammer,Heavy,,0,0,0,0,0,0
12190200,Brick Hammer,Keen,,0,0,0,0,0,0
12190600,Brick Hammer,Lightning,,0,0,0,0,0,0
12190800,Brick Hammer,Magic,,0,0,0,0,0,0
