record_id,aow_id,aow_name,sheet_row,source_kind,source_param_ids,effect_id,effect_name,parent_effect_id,link_kind,role,activation_action_id,activation_timing,hand_variant,is_canonical,is_supported,reason,duration_seconds,physical_attack_power,magic_attack_power,fire_attack_power,lightning_attack_power,holy_attack_power,bleed_buildup,frost_buildup,poison_buildup,scarlet_rot_buildup,sleep_buildup,madness_buildup,death_buildup,uses_status_correction,uses_attack_correction
11,101,Impaling Thrust,1148,attack_param,600000835,6904,AccumuVal [10],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
12,101,Impaling Thrust,1149,attack_param,600000837,6904,AccumuVal [10],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
13,101,Impaling Thrust,1844,attack_param,300000010,6903,AccumuVal [8],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
14,101,Impaling Thrust,1845,attack_param,300000011,6903,AccumuVal [8],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
15,102,Piercing Fang,958,attack_param,300000050,6903,AccumuVal [8],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
16,102,Piercing Fang,959,attack_param,300000051,6903,AccumuVal [8],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
17,103,Spinning Slash,880,attack_param,300000220,6903,AccumuVal [8],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
18,103,Spinning Slash,881,attack_param,300000221,6903,AccumuVal [8],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
19,103,Spinning Slash,882,attack_param,300000222,6903,AccumuVal [8],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20,103,Spinning Slash,883,attack_param,300000225,6903,AccumuVal [8],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
21,103,Spinning Slash,884,attack_param,300000226,6903,AccumuVal [8],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
22,103,Spinning Slash,885,attack_param,300000227,6903,AccumuVal [8],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
23,103,Spinning Slash,886,attack_param,300000220,6903,AccumuVal [8],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
24,103,Spinning Slash,887,attack_param,300000221,6903,AccumuVal [8],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
25,103,Spinning Slash,888,attack_param,300000222,6903,AccumuVal [8],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
26,103,Spinning Slash,889,attack_param,300000225,6903,AccumuVal [8],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
27,103,Spinning Slash,890,attack_param,300000226,6903,AccumuVal [8],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
28,103,Spinning Slash,891,attack_param,300000227,6903,AccumuVal [8],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
29,103,Spinning Slash,892,attack_param,300000220,6903,AccumuVal [8],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
30,103,Spinning Slash,893,attack_param,300000221,6903,AccumuVal [8],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
31,103,Spinning Slash,894,attack_param,300000222,6903,AccumuVal [8],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
32,103,Spinning Slash,895,attack_param,300000225,6903,AccumuVal [8],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
33,103,Spinning Slash,896,attack_param,300000226,6903,AccumuVal [8],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
34,103,Spinning Slash,897,attack_param,300000227,6903,AccumuVal [8],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
35,103,Spinning Slash,898,attack_param,300000220,6903,AccumuVal [8],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
36,103,Spinning Slash,899,attack_param,300000221,6903,AccumuVal [8],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
37,103,Spinning Slash,900,attack_param,300000222,6903,AccumuVal [8],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
38,103,Spinning Slash,901,attack_param,300000225,6903,AccumuVal [8],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
39,103,Spinning Slash,902,attack_param,300000226,6903,AccumuVal [8],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
40,103,Spinning Slash,903,attack_param,300000227,6903,AccumuVal [8],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
41,103,Spinning Slash,904,attack_param,300000220,6903,AccumuVal [8],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
42,103,Spinning Slash,905,attack_param,300000221,6903,AccumuVal [8],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
43,103,Spinning Slash,906,attack_param,300000222,6903,AccumuVal [8],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
44,103,Spinning Slash,907,attack_param,300000225,6903,AccumuVal [8],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
45,103,Spinning Slash,908,attack_param,300000226,6903,AccumuVal [8],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
46,103,Spinning Slash,909,attack_param,300000227,6903,AccumuVal [8],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
47,103,Spinning Slash,910,attack_param,300000220,6903,AccumuVal [8],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
48,103,Spinning Slash,911,attack_param,300000221,6903,AccumuVal [8],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
49,103,Spinning Slash,912,attack_param,300000222,6903,AccumuVal [8],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
50,103,Spinning Slash,913,attack_param,300000225,6903,AccumuVal [8],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
51,103,Spinning Slash,914,attack_param,300000226,6903,AccumuVal [8],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
52,103,Spinning Slash,915,attack_param,300000227,6903,AccumuVal [8],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
53,103,Spinning Slash,916,attack_param,300000220,6903,AccumuVal [8],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
54,103,Spinning Slash,917,attack_param,300000221,6903,AccumuVal [8],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
55,103,Spinning Slash,918,attack_param,300000222,6903,AccumuVal [8],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
56,103,Spinning Slash,919,attack_param,300000225,6903,AccumuVal [8],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
57,103,Spinning Slash,920,attack_param,300000226,6903,AccumuVal [8],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
58,103,Spinning Slash,921,attack_param,300000227,6903,AccumuVal [8],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
59,103,Spinning Slash,922,attack_param,300000220,6903,AccumuVal [8],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
60,103,Spinning Slash,923,attack_param,300000221,6903,AccumuVal [8],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
61,103,Spinning Slash,924,attack_param,300000222,6903,AccumuVal [8],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
62,103,Spinning Slash,925,attack_param,300000225,6903,AccumuVal [8],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
63,103,Spinning Slash,926,attack_param,300000226,6903,AccumuVal [8],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
64,103,Spinning Slash,927,attack_param,300000227,6903,AccumuVal [8],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
65,103,Spinning Slash,928,attack_param,300000230,6903,AccumuVal [8],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
66,103,Spinning Slash,929,attack_param,300000231,6903,AccumuVal [8],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
67,103,Spinning Slash,930,attack_param,300000232,6903,AccumuVal [8],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
68,103,Spinning Slash,931,attack_param,300000235,6903,AccumuVal [8],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
69,103,Spinning Slash,932,attack_param,300000236,6903,AccumuVal [8],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
70,103,Spinning Slash,933,attack_param,300000237,6903,AccumuVal [8],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
71,103,Spinning Slash,934,attack_param,300000240,6903,AccumuVal [8],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
72,103,Spinning Slash,935,attack_param,300000241,6903,AccumuVal [8],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
73,103,Spinning Slash,936,attack_param,300000242,6903,AccumuVal [8],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
74,103,Spinning Slash,937,attack_param,300000245,6903,AccumuVal [8],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
75,103,Spinning Slash,938,attack_param,300000246,6903,AccumuVal [8],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
76,103,Spinning Slash,939,attack_param,300000247,6903,AccumuVal [8],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
77,103,Spinning Slash,940,attack_param,300000250,6903,AccumuVal [8],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
78,103,Spinning Slash,941,attack_param,300000251,6903,AccumuVal [8],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
79,103,Spinning Slash,942,attack_param,300000252,6903,AccumuVal [8],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
80,103,Spinning Slash,943,attack_param,300000255,6903,AccumuVal [8],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
81,103,Spinning Slash,944,attack_param,300000256,6903,AccumuVal [8],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
82,103,Spinning Slash,945,attack_param,300000257,6903,AccumuVal [8],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
83,103,Spinning Slash,2462,attack_param,300000230,6903,AccumuVal [8],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
84,103,Spinning Slash,2463,attack_param,300000231,6903,AccumuVal [8],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
85,103,Spinning Slash,2464,attack_param,300000232,6903,AccumuVal [8],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
86,103,Spinning Slash,2465,attack_param,30090011,6705,Frostbite - Type 1 - Special 6,0,direct,per_hit_status,,on_hit,,,1,target status payload is attached to this hit by numeric ID,30.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,0
87,103,Spinning Slash,2466,attack_param,30090012,6703,Frostbite - Type 1 - Special 4,0,direct,per_hit_status,,on_hit,,,1,target status payload is attached to this hit by numeric ID,30.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,1,0
88,103,Spinning Slash,2466,bullet_target,2726|2727|2728|2729,875,[AoW] Dragon Halberd: Spinning Slash - Bullet Frostbite,0,direct,per_hit_status,,on_hit,,,1,target status payload is attached to this hit by numeric ID,30.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0,0
89,103,Spinning Slash,2467,attack_param,300000235,6903,AccumuVal [8],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
90,103,Spinning Slash,2468,attack_param,300000236,6903,AccumuVal [8],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
91,103,Spinning Slash,2469,attack_param,300000237,6903,AccumuVal [8],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
92,106,Stamp (Upward Cut),2,attack_param,300000290,6909,AccumuVal [20],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
93,106,Stamp (Upward Cut),3,attack_param,300000295,6909,AccumuVal [20],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
94,107,Stamp (Sweep),4,attack_param,300000891,6909,AccumuVal [20],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
95,107,Stamp (Sweep),5,attack_param,300000892,6909,AccumuVal [20],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
96,107,Stamp (Sweep),6,attack_param,300000895,6909,AccumuVal [20],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
97,107,Stamp (Sweep),7,attack_param,300000896,6909,AccumuVal [20],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
98,108,Blood Tax,1464,attack_param,300000310,1830,[AoW] Blood Tax - HP Restore,0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.029999999329447746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
99,108,Blood Tax,1464,attack_param,300000310,6902,AccumuVal [6],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
100,108,Blood Tax,1465,attack_param,300000311,1830,[AoW] Blood Tax - HP Restore,0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.029999999329447746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
101,108,Blood Tax,1465,attack_param,300000311,6902,AccumuVal [6],0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
102,108,Blood Tax,1466,attack_param,300000312,1830,[AoW] Blood Tax - HP Restore,0,direct,self_mechanic,,on_hit,,,1,effect targets the attacker/self and is not target buildup,0.029999999329447746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
