effect_id,status,reason,reference_count,weapon_ids,weapon_names
6603,resolved,,26,12210000|12210100|12210200|12210300|12210400|12210500|12210600|12210700|12210800|12210900|12211000|12211100|12211200|23150000|23150100|23150200|23150300|23150400|23150500|23150600|23150700|23150800|23150900|23151000|23151100|23151200,Rotten Battle Hammer|Rotten Greataxe
6605,resolved,,1,23140000,Rotten Staff
6700,resolved,,2,3090000|8500000,Dark Moon Greatsword|Putrescence Cleaver
6701,resolved,,2,5050000|61510000,Chilling Perfume Bottle|Frozen Needle
6702,resolved,,4,14080000|24050000|3200000|8050000,Death's Poker|Ghostflame Torch|Icerind Hatchet|Zamor Curved Sword
6750,resolved,,2,21530000|34090000,Frenzied Flame Seal|Madding Hand
6751,resolved,,1,61520000,Frenzyflame Perfume Bottle
6752,resolved,,2,17050000|24500000,Nanaya's Torch|Vyke's War Spear
6753,resolved,,13,32130000|32130100|32130200|32130300|32130400|32130500|32130600|32130700|32130800|32130900|32131000|32131100|32131200,Fingerprint Stone Shield
18671,resolved,,1,21060000,Grafted Dragon
19870,resolved,,1,10500000,Euporia
19871,resolved,,1,10500000,Euporia
105000,resolved,,111,1001100|1021100|1031100|1061100|11001100|11011100|11031100|11041100|11081100|11091100|11141100|1151100|14001100|14021100|14031100|14041100|14061100|14101100|14111100|14501100|14521100|1501100|1511100|16001100|16011100|16031100|16051100|16061100|16071100|16151100|16501100|16521100|20001100|2001100|20071100|2011100|2021100|2041100|2051100|21001100|21071100|21101100|21511100|21541100|22011100|2211100|2231100|2241100|30001100|30011100|30021100|30031100|30041100|30061100|30071100|30081100|30091100|30101100|30111100|30121100|30131100|30141100|31001100|31031100|31041100|31051100|31071100|31081100|31091100|31101100|31131100|31141100|31191100|31231100|31241100|31251100|31261100|31271100|31281100|31291100|31301100|31311100|31321100|31331100|31341100|31501100|31511100|31521100|5001100|5011100|5021100|5031100|5041100|5061100|60501100|60511100|62501100|62511100|64501100|64511100|67501100|7001100|7011100|7021100|7031100|7041100|7061100|7111100|7121100|7141100|7151100,Albinauric Shield|Antspur Rapier|Backhand Blade|Bandit's Curved Sword|Banished Knight's Shield|Battle Axe|Beast Crest Heater Shield|Beastman's Curved Sword|Beastman's Jar-Shield|Black Leather Shield|Blue Crest Heater Shield|Blue-Gold Kite Shield|Blue-White Wooden Shield|Brass Shield|Broadsword|Buckler|Caestus|Candletree Wooden Shield|Cane Sword|Carian Knight's Shield|Carian Thrusting Shield|Celebrant's Cleaver|Celebrant's Rib-Rake|Celebrant's Sickle|Clayman's Harpoon|Cleanrot Knight's Sword|Club|Curved Club|Dagger|Dane's Footwork|Dryleaf Arts|Dueling Shield|Eclipse Crest Heater Shield|Erdsteel Dagger|Estoc|Falchion|Fire Knight's Shortsword|Flame Crest Wooden Shield|Flowing Curved Sword|Gilded Iron Shield|Golem Fist|Great Turtle Shell|Grossmesser|Hammer|Hand Axe|Hawk Crest Wooden Shield|Heater Shield|Highland Axe|Horse Crest Wooden Shield|Ice Crest Shield|Inverted Hawk Heater Shield|Iron Ball|Iron Cleaver|Iron Roundshield|Iron Spear|Jawbone Axe|Katar|Kite Shield|Large Leather Shield|Longsword|Lordsworn's Straight Sword|Mace|Main-gauche|Man-Serpent's Shield|Mantis Blade|Messmer Soldier Shield|Messmer Soldier's Axe|Milady|Misericorde|Monk's Flamemace|Noble's Estoc|Noble's Slender Sword|Parrying Dagger|Partisan|Pata|Perfumer's Shield|Pike|Pillory Shield|Rapier|Red Crest Heater Shield|Red Thorn Roundshield|Rickety Shield|Rift Shield|Riveted Wooden Shield|Rogier's Rapier|Round Shield|Sacrificial Axe|Scimitar|Scorpion Kite Shield|Scripture Wooden Shield|Serpent Crest Shield|Serpent-God's Curved Sword|Shamshir|Short Spear|Short Sword|Shotel|Smithscript Axe|Smithscript Cirque|Smithscript Spear|Spear|Stone Club|Sun Realm Shield|Swift Spear|Twinbird Kite Shield|Urumi|Venomous Fang|Warhawk's Talon|Warpick|Weathered Straight Sword|Whip|Wolf Crest Shield
105050,resolved,,27,1091100|1101100|11051100|11071100|1141100|13001100|13011100|13041100|14011100|16111100|16141100|16541100|20021100|20051100|21011100|21081100|22001100|22021100|22031100|30191100|31011100|31021100|31171100|68501100|7081100|9001100|9011100,Beast Claw|Bloodfiend's Fork|Bloodhound Claws|Bloodstained Dagger|Chainlink Flail|Cross-Naginata|Flail|Forked Hatchet|Great Knife|Hookclaws|Hoslow's Petal Whip|Marred Leather Shield|Marred Wooden Shield|Morning Star|Nagakiba|Nightrider Flail|Raptor Talons|Scavenger's Curved Sword|Shield of the Guilty|Spiked Caestus|Spiked Club|Spiked Spear|Spiralhorn Shield|Star Fist|Thorned Whip|Uchigatana|Wakizashi
105100,resolved,,51,10001100|10011100|10031100|10081100|10511100|12001100|12011100|12021100|12061100|12081100|12131100|12141100|12191100|12211100|12501100|12521100|15001100|15011100|15031100|15051100|15061100|15081100|15121100|15131100|17061100|17511100|18001100|18011100|18021100|18031100|18051100|18091100|18111100|18131100|18151100|3001100|3021100|3031100|3041100|3081100|3181100|3191100|3521100|6011100|6021100|6501100|8021100|8061100|8071100|8081100|8511100,Banished Knight's Greatsword|Banished Knight's Halberd|Bastard Sword|Battle Hammer|Beastman's Cleaver|Black Steel Greathammer|Black Steel Twinblade|Brick Hammer|Butchering Knife|Celebrant's Skull|Claymore|Crescent Moon Axe|Curved Great Club|Dismounter|Executioner's Greataxe|Freyja's Greatsword|Gargoyle's Great Axe|Gargoyle's Greatsword|Gargoyle's Halberd|Gargoyle's Twinblade|Glaive|Godskin Peeler|Godskin Stitcher|Great Epee|Great Mace|Greataxe|Greathorn Hammer|Guardian's Swordspear|Halberd|Iron Greatsword|Knight's Greatsword|Lance|Large Club|Lizard Greatsword|Longhaft Axe|Lordsworn's Greatsword|Lucerne|Messmer Soldier's Spear|Monk's Flameblade|Nightrider Glaive|Omen Cleaver|Pest's Glaive|Pickaxe|Queelign's Greatsword|Rotten Battle Hammer|Rusted Anchor|Smithscript Greathammer|Twinblade|Twinned Knight Swords|Vulgar Militia Shotel|Warped Axe
105150,resolved,,8,12181100|15021100|18071100|19001100|19011100|3011100|3051100|66501100,Flamberge|Forked Greatsword|Grave Scythe|Great Katana|Great Omenkiller Cleaver|Great Stars|Scythe|Vulgar Militia Saw
105200,resolved,,28,12531100|23001100|23041100|23111100|23121100|23151100|32001100|32021100|32091100|32131100|32191100|32201100|32211100|32231100|32241100|32251100|32261100|32271100|32281100|32291100|32301100|32501100|3501100|4001100|4011100|4031100|4041100|4521100,Black Steel Greatshield|Bloodfiend's Arm|Crossed-Tree Towershield|Cuckoo Greatshield|Distinguished Greatshield|Dragon Towershield|Duelist Greataxe|Eclipse Crest Greatshield|Fingerprint Stone Shield|Fire Knight's Greatsword|Giant-Crusher|Gilded Greatshield|Golden Beast Crest Shield|Golden Greatshield|Golem's Halberd|Greatsword|Haligtree Crest Greatshield|Inverted Hawk Towershield|Lordsworn's Shield|Manor Towershield|Prelate's Inferno Crozier|Redmane Greatshield|Rotten Greataxe|Sword Lance|Troll's Golden Sword|Watchdog's Greatsword|Wooden Greatshield|Zweihander
105250,resolved,,2,32051100|32171100,Briar Greatshield|Spiked Palisade Shield
105300,resolved,,1,63501100,Smithscript Dagger
106000,resolved,,137,1001000|1021000|1031000|1061000|1091000|11001000|1101000|11011000|11031000|11041000|11051000|11071000|11081000|11091000|11141000|1141000|1151000|13001000|13011000|13041000|14001000|14011000|14021000|14031000|14041000|14061000|14101000|14111000|14501000|14521000|1501000|1511000|16001000|16011000|16031000|16051000|16061000|16071000|16111000|16141000|16151000|16501000|16521000|16541000|20001000|2001000|20021000|20051000|20071000|2011000|2021000|2041000|2051000|21001000|21011000|21071000|21081000|21101000|21511000|21541000|22001000|22021000|22031000|2211000|2231000|2241000|30001000|30011000|30021000|30031000|30041000|30061000|30071000|30081000|30091000|30101000|30111000|30121000|30131000|30141000|30191000|31001000|31011000|31021000|31031000|31041000|31051000|31071000|31081000|31091000|31101000|31131000|31141000|31171000|31191000|31231000|31241000|31251000|31261000|31271000|31281000|31291000|31301000|31311000|31321000|31331000|31341000|31501000|31511000|31521000|5001000|5011000|5021000|5031000|5041000|5061000|60501000|60511000|62501000|62511000|64501000|64511000|67501000|68501000|7001000|7011000|7021000|7031000|7041000|7061000|7081000|7111000|7121000|7141000|7151000|9001000|9011000,Albinauric Shield|Antspur Rapier|Backhand Blade|Bandit's Curved Sword|Banished Knight's Shield|Battle Axe|Beast Claw|Beast Crest Heater Shield|Beastman's Curved Sword|Beastman's Jar-Shield|Black Leather Shield|Bloodfiend's Fork|Bloodhound Claws|Bloodstained Dagger|Blue Crest Heater Shield|Blue-Gold Kite Shield|Blue-White Wooden Shield|Brass Shield|Broadsword|Buckler|Caestus|Candletree Wooden Shield|Cane Sword|Carian Knight's Shield|Carian Thrusting Shield|Celebrant's Cleaver|Celebrant's Rib-Rake|Celebrant's Sickle|Chainlink Flail|Clayman's Harpoon|Cleanrot Knight's Sword|Club|Cross-Naginata|Curved Club|Dagger|Dane's Footwork|Dryleaf Arts|Dueling Shield|Eclipse Crest Heater Shield|Erdsteel Dagger|Estoc|Falchion|Fire Knight's Shortsword|Flail|Flame Crest Wooden Shield|Flowing Curved Sword|Forked Hatchet|Gilded Iron Shield|Golem Fist|Great Knife|Great Turtle Shell|Grossmesser|Hammer|Hand Axe|Hawk Crest Wooden Shield|Heater Shield|Highland Axe|Hookclaws|Horse Crest Wooden Shield|Hoslow's Petal Whip|Ice Crest Shield|Inverted Hawk Heater Shield|Iron Ball|Iron Cleaver|Iron Roundshield|Iron Spear|Jawbone Axe|Katar|Kite Shield|Large Leather Shield|Longsword|Lordsworn's Straight Sword|Mace|Main-gauche|Man-Serpent's Shield|Mantis Blade|Marred Leather Shield|Marred Wooden Shield|Messmer Soldier Shield|Messmer Soldier's Axe|Milady|Misericorde|Monk's Flamemace|Morning Star|Nagakiba|Nightrider Flail|Noble's Estoc|Noble's Slender Sword|Parrying Dagger|Partisan|Pata|Perfumer's Shield|Pike|Pillory Shield|Rapier|Raptor Talons|Red Crest Heater Shield|Red Thorn Roundshield|Rickety Shield|Rift Shield|Riveted Wooden Shield|Rogier's Rapier|Round Shield|Sacrificial Axe|Scavenger's Curved Sword|Scimitar|Scorpion Kite Shield|Scripture Wooden Shield|Serpent Crest Shield|Serpent-God's Curved Sword|Shamshir|Shield of the Guilty|Short Spear|Short Sword|Shotel|Smithscript Axe|Smithscript Cirque|Smithscript Spear|Spear|Spiked Caestus|Spiked Club|Spiked Spear|Spiralhorn Shield|Star Fist|Stone Club|Sun Realm Shield|Swift Spear|Thorned Whip|Twinbird Kite Shield|Uchigatana|Urumi|Wakizashi|Warhawk's Talon|Warpick|Weathered Straight Sword|Whip|Wolf Crest Shield
106050,resolved,,1,22011000,Venomous Fang
106100,resolved,,59,10001000|10011000|10031000|10081000|10511000|12001000|12011000|12021000|12061000|12081000|12131000|12141000|12181000|12191000|12211000|12501000|12521000|15001000|15011000|15021000|15031000|15051000|15061000|15081000|15121000|15131000|17061000|17511000|18001000|18011000|18021000|18031000|18051000|18071000|18091000|18111000|18131000|18151000|19001000|19011000|3001000|3011000|3021000|3031000|3041000|3051000|3081000|3181000|3191000|3521000|6011000|6021000|6501000|66501000|8021000|8061000|8071000|8081000|8511000,Banished Knight's Greatsword|Banished Knight's Halberd|Bastard Sword|Battle Hammer|Beastman's Cleaver|Black Steel Greathammer|Black Steel Twinblade|Brick Hammer|Butchering Knife|Celebrant's Skull|Claymore|Crescent Moon Axe|Curved Great Club|Dismounter|Executioner's Greataxe|Flamberge|Forked Greatsword|Freyja's Greatsword|Gargoyle's Great Axe|Gargoyle's Greatsword|Gargoyle's Halberd|Gargoyle's Twinblade|Glaive|Godskin Peeler|Godskin Stitcher|Grave Scythe|Great Epee|Great Katana|Great Mace|Great Omenkiller Cleaver|Great Stars|Greataxe|Greathorn Hammer|Guardian's Swordspear|Halberd|Iron Greatsword|Knight's Greatsword|Lance|Large Club|Lizard Greatsword|Longhaft Axe|Lordsworn's Greatsword|Lucerne|Messmer Soldier's Spear|Monk's Flameblade|Nightrider Glaive|Omen Cleaver|Pest's Glaive|Pickaxe|Queelign's Greatsword|Rotten Battle Hammer|Rusted Anchor|Scythe|Smithscript Greathammer|Twinblade|Twinned Knight Swords|Vulgar Militia Saw|Vulgar Militia Shotel|Warped Axe
106200,resolved,,30,12531000|23001000|23041000|23111000|23121000|23151000|32001000|32021000|32051000|32091000|32131000|32171000|32191000|32201000|32211000|32231000|32241000|32251000|32261000|32271000|32281000|32291000|32301000|32501000|3501000|4001000|4011000|4031000|4041000|4521000,Black Steel Greatshield|Bloodfiend's Arm|Briar Greatshield|Crossed-Tree Towershield|Cuckoo Greatshield|Distinguished Greatshield|Dragon Towershield|Duelist Greataxe|Eclipse Crest Greatshield|Fingerprint Stone Shield|Fire Knight's Greatsword|Giant-Crusher|Gilded Greatshield|Golden Beast Crest Shield|Golden Greatshield|Golem's Halberd|Greatsword|Haligtree Crest Greatshield|Inverted Hawk Towershield|Lordsworn's Shield|Manor Towershield|Prelate's Inferno Crozier|Redmane Greatshield|Rotten Greataxe|Spiked Palisade Shield|Sword Lance|Troll's Golden Sword|Watchdog's Greatsword|Wooden Greatshield|Zweihander
106300,resolved,,1,63501000,Smithscript Dagger
107500,resolved,,138,1000900|1020900|1030900|1060900|1090900|11000900|1100900|11010900|11030900|11040900|11050900|11070900|11080900|11090900|11140900|1140900|1150900|13000900|13010900|13040900|14000900|14010900|14020900|14030900|14040900|14060900|14100900|14110900|14500900|14520900|1500900|1510900|16000900|16010900|16030900|16050900|16060900|16070900|16110900|16140900|16150900|16500900|16520900|16540900|20000900|2000900|20020900|20050900|20070900|2010900|2020900|2040900|2050900|21000900|21010900|21070900|21080900|21100900|21510900|21540900|22000900|22010900|22020900|22030900|2210900|2230900|2240900|30000900|30010900|30020900|30030900|30040900|30060900|30070900|30080900|30090900|30100900|30110900|30120900|30130900|30140900|30190900|31000900|31010900|31020900|31030900|31040900|31050900|31070900|31080900|31090900|31100900|31130900|31140900|31170900|31190900|31230900|31240900|31250900|31260900|31270900|31280900|31290900|31300900|31310900|31320900|31330900|31340900|31500900|31510900|31520900|5000900|5010900|5020900|5030900|5040900|5060900|60500900|60510900|62500900|62510900|64500900|64510900|67500900|68500900|7000900|7010900|7020900|7030900|7040900|7060900|7080900|7110900|7120900|7140900|7150900|9000900|9010900,Albinauric Shield|Antspur Rapier|Backhand Blade|Bandit's Curved Sword|Banished Knight's Shield|Battle Axe|Beast Claw|Beast Crest Heater Shield|Beastman's Curved Sword|Beastman's Jar-Shield|Black Leather Shield|Bloodfiend's Fork|Bloodhound Claws|Bloodstained Dagger|Blue Crest Heater Shield|Blue-Gold Kite Shield|Blue-White Wooden Shield|Brass Shield|Broadsword|Buckler|Caestus|Candletree Wooden Shield|Cane Sword|Carian Knight's Shield|Carian Thrusting Shield|Celebrant's Cleaver|Celebrant's Rib-Rake|Celebrant's Sickle|Chainlink Flail|Clayman's Harpoon|Cleanrot Knight's Sword|Club|Cross-Naginata|Curved Club|Dagger|Dane's Footwork|Dryleaf Arts|Dueling Shield|Eclipse Crest Heater Shield|Erdsteel Dagger|Estoc|Falchion|Fire Knight's Shortsword|Flail|Flame Crest Wooden Shield|Flowing Curved Sword|Forked Hatchet|Gilded Iron Shield|Golem Fist|Great Knife|Great Turtle Shell|Grossmesser|Hammer|Hand Axe|Hawk Crest Wooden Shield|Heater Shield|Highland Axe|Hookclaws|Horse Crest Wooden Shield|Hoslow's Petal Whip|Ice Crest Shield|Inverted Hawk Heater Shield|Iron Ball|Iron Cleaver|Iron Roundshield|Iron Spear|Jawbone Axe|Katar|Kite Shield|Large Leather Shield|Longsword|Lordsworn's Straight Sword|Mace|Main-gauche|Man-Serpent's Shield|Mantis Blade|Marred Leather Shield|Marred Wooden Shield|Messmer Soldier Shield|Messmer Soldier's Axe|Milady|Misericorde|Monk's Flamemace|Morning Star|Nagakiba|Nightrider Flail|Noble's Estoc|Noble's Slender Sword|Parrying Dagger|Partisan|Pata|Perfumer's Shield|Pike|Pillory Shield|Rapier|Raptor Talons|Red Crest Heater Shield|Red Thorn Roundshield|Rickety Shield|Rift Shield|Riveted Wooden Shield|Rogier's Rapier|Round Shield|Sacrificial Axe|Scavenger's Curved Sword|Scimitar|Scorpion Kite Shield|Scripture Wooden Shield|Serpent Crest Shield|Serpent-God's Curved Sword|Shamshir|Shield of the Guilty|Short Spear|Short Sword|Shotel|Smithscript Axe|Smithscript Cirque|Smithscript Spear|Spear|Spiked Caestus|Spiked Club|Spiked Spear|Spiralhorn Shield|Star Fist|Stone Club|Sun Realm Shield|Swift Spear|Thorned Whip|Twinbird Kite Shield|Uchigatana|Urumi|Venomous Fang|Wakizashi|Warhawk's Talon|Warpick|Weathered Straight Sword|Whip|Wolf Crest Shield
107600,resolved,,59,10000900|10010900|10030900|10080900|10510900|12000900|12010900|12020900|12060900|12080900|12130900|12140900|12180900|12190900|12210900|12500900|12520900|15000900|15010900|15020900|15030900|15050900|15060900|15080900|15120900|15130900|17060900|17510900|18000900|18010900|18020900|18030900|18050900|18070900|18090900|18110900|18130900|18150900|19000900|19010900|3000900|3010900|3020900|3030900|3040900|3050900|3080900|3180900|3190900|3520900|6010900|6020900|6500900|66500900|8020900|8060900|8070900|8080900|8510900,Banished Knight's Greatsword|Banished Knight's Halberd|Bastard Sword|Battle Hammer|Beastman's Cleaver|Black Steel Greathammer|Black Steel Twinblade|Brick Hammer|Butchering Knife|Celebrant's Skull|Claymore|Crescent Moon Axe|Curved Great Club|Dismounter|Executioner's Greataxe|Flamberge|Forked Greatsword|Freyja's Greatsword|Gargoyle's Great Axe|Gargoyle's Greatsword|Gargoyle's Halberd|Gargoyle's Twinblade|Glaive|Godskin Peeler|Godskin Stitcher|Grave Scythe|Great Epee|Great Katana|Great Mace|Great Omenkiller Cleaver|Great Stars|Greataxe|Greathorn Hammer|Guardian's Swordspear|Halberd|Iron Greatsword|Knight's Greatsword|Lance|Large Club|Lizard Greatsword|Longhaft Axe|Lordsworn's Greatsword|Lucerne|Messmer Soldier's Spear|Monk's Flameblade|Nightrider Glaive|Omen Cleaver|Pest's Glaive|Pickaxe|Queelign's Greatsword|Rotten Battle Hammer|Rusted Anchor|Scythe|Smithscript Greathammer|Twinblade|Twinned Knight Swords|Vulgar Militia Saw|Vulgar Militia Shotel|Warped Axe
107700,resolved,,30,12530900|23000900|23040900|23110900|23120900|23150900|32000900|32020900|32050900|32090900|32130900|32170900|32190900|32200900|32210900|32230900|32240900|32250900|32260900|32270900|32280900|32290900|32300900|32500900|3500900|4000900|4010900|4030900|4040900|4520900,Black Steel Greatshield|Bloodfiend's Arm|Briar Greatshield|Crossed-Tree Towershield|Cuckoo Greatshield|Distinguished Greatshield|Dragon Towershield|Duelist Greataxe|Eclipse Crest Greatshield|Fingerprint Stone Shield|Fire Knight's Greatsword|Giant-Crusher|Gilded Greatshield|Golden Beast Crest Shield|Golden Greatshield|Golem's Halberd|Greatsword|Haligtree Crest Greatshield|Inverted Hawk Towershield|Lordsworn's Shield|Manor Towershield|Prelate's Inferno Crozier|Redmane Greatshield|Rotten Greataxe|Spiked Palisade Shield|Sword Lance|Troll's Golden Sword|Watchdog's Greatsword|Wooden Greatshield|Zweihander
107800,resolved,,1,63500900,Smithscript Dagger
